name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Ager Anthonie,person,0.97,1,Ager Anthonie,A,Ager Anthonie knight is slaine fighting valiantly. 1771.30
Agilbertus,person,0.96,1,Agilbertus,A,"Agilbertus returneth into Fraunce, and is made Byshop of Paris. 171.74."
Agilbeetus,person,0.9,1,Agilbeetus,A,Agilbeetus Byshop commeth into England. 171.61.
Agnes,person,0.8,2,Agnes,A,"Agnes, daughter to Hugh le Grand, Earle of Paris, maried to Richard the seconde Duke of Normandie. 288.116."
Agnexus,person,0.81,1,Agnexus,A,"Agnexus and Hubbo brethren, chosen captaines of y Danes 210.77."
Agricola,person,0.9,1,Agricola,A,Agricola <?> <?>mmaunded home to Rome by Domitianus. 73.69.
Agricolas,uncertain,0.45,1,Agricolas,A,Agricolas fame groweth by neglecting it. 69.4.
Agricula,person,0.86,1,Agricula,A,Agricula sent Lieutenant into Britaine. 68.57.
Agriculas,uncertain,0.2,1,Agriculas,A,Agriculas gouernment <?>th commended. 69.9.
Aguell Henrie,person,0.84,1,Aguell Henrie,A,"Aguell Henrie, drowned in a tempest. 411.94."
Aydan,person,0.48,3,Aydan,A,Aydan sent into Englande to preach the Gospel. 168.25.
Aydans,uncertain,0.33,2,Aydans,A,Aydans aduice concerning the preaching of the Gospell in Northumberland. 167.107
Aiguillon,uncertain,0.2,1,Aiguillon,A,Aiguillon beseged by the French+men. 928.7. b.
Aylewin,person,0.81,1,Aylewin,A,Aylewin Earle. 234.23.
Aimouth,uncertain,0.2,1,Aimouth,A,Aimouth furtifyed. 1779.10.
Ayre,uncertain,0.45,1,Ayre,A,Ayre appeareth red and burning. 353.29.
Ayre Towne,place,0.87,1,Ayre Towne,A,Ayre Towne wonne and brent by kyng Iohns Souldiers. 584.10.
Akalon,place,0.84,1,Akalon,A,"Akalon, a riuer in Greece. 11.37."
Alla,person,0.5,1,Alla,A,"Alla, looke Ella."
Alaine,person,0.91,1,Alaine,A,Alaine Duke of Britaine. 372.10.
Alane Ecle of Britaine,person,0.96,1,Alane Ecle of Britaine,A,"Alane Ecle of Britaine, created Earle of Richmonde. 301.44."
Alanson,uncertain,0.45,1,Alanson,A,Alanson beseiged and yelded to Henry the fifth page. 1190. col. 1. line. 25.
Alba Siluius,person,0.86,1,Alba Siluius,A,"Alba Siluius, the eleuenth king of Italy. 17.105."
Alban,person,0.86,1,Alban,A,Alban martyred for the faith of Christ. 88.2.
Albanact,person,0.92,2,Albanact,A,"Albanact, third sonne to Brute. 16.33."
Albaney William Erle of Arndell,person,0.97,1,Albaney William Erle of Arndell,A,Albaney William Erle of Arndell dyeth. 622.5.
Albania,place,0.74,1,Albania,A,"Albania lyeth Northward, beyonde Humber. 16.48."
Albanye,place,0.83,1,Albanye,A,"Albanye allotted to Albanact, now called Scotlãd. 16.44."
Albemarle castle,place,0.9,2,Albemarle castle,A,Albemarle castle burned. 468.8.
Albemarle in Normandie,place,0.67,1,Albemarle in Normandie,A,Albemarle in Normandie taken by king William Rufus. 321.58.
Albemarle towne,place,0.85,1,Albemarle towne,A,"Albemarle towne besieged by the Earle of Flaunders, and taken. 429.21."
Albeney William,person,0.93,1,Albeney William,A,Albeney William captayne of Rochester Castle. 592.65.
Albericke,person,0.86,1,Albericke,A,"Albericke, made gouernour of Northumberland. 312.47."
Alberike,person,0.79,1,Alberike,A,"Alberike Byshop of Hostia, the Popes Legate in England. 371.26."
Albert,person,0.93,1,Albert,A,Albert Duke of Saxon taketh Dam by sleight. 1438. 10. wynneth the towne of Scluse. ibidem.
Albert de Suma,person,0.89,1,Albert de Suma,A,"Albert de Suma, sent Legate from the Pope into England. 451.83."
Albina,uncertain,0.2,1,Albina,A,"Albina, none of Danaus daugh+ters names. 8.69."
Albinus,person,0.87,1,Albinus,A,"Albinus the famous Clearke, wrote a booke agaynst the worshipping of Images. 199.55."
Albion,uncertain,0.34,4,Albion,A,"Albion, when this Iland first so called. 5.45. & .6.30."
