name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Brandon Charles Esquier,person,0.97,1,Brandon Charles Esquier,B,Brandon Charles Esquier iusteth. 1466.30. knight & captaine with Syr Henry Guilford of the Souereigne 1475.37. created Viscount Lisle. 1477.7. created Duke of Suffolke. 1494.28. goeth ouer to ye Iusts held at Paris 1496.12. & acquitteth hymselfe at them very honorably eaden. 42. is sent into France to reduce the Queene Dowager of France into Englãd. 1497.25. marieth her. eaden. 58. forsaketh the Court and why. 1499.39. leadeth an armye into Fraunce. 1526.20. helpeth to appease an insurrection in Suffolk. 1539.46. chosen knight of thorder of Saint Michaell. 1558.28. suppresseth with a power the rebellion in Lincolnshire 1566.1. Godfather to king Edward the sixt. 1570.41. besiegeth Bulleyn. 1594.9 dyeth. 1603.10. is praised ibidem.
Brandon Henry,person,0.97,1,Brandon Henry,B,Brandon Henry sonne to Charles Duke of Suffolke by the Frenche Queene Created Earle of Lincolne. 1526.13
Breause William,person,0.97,1,Breause William,B,"Breause William, his craftie dealing with the Welchmen. 439.103."
Brecknoc Castle,place,0.87,1,Brecknoc Castle,B,Brecknoc Castle deliuered to Prince Edward. 765.49.
Brecknock battell,place,0.95,1,Brecknock battell,B,"Brecknock battell, fought by the Englishmen agaynst the Welchmen. 324.36."
Brecknock in wales,place,0.66,1,Brecknock in wales,B,Brecknock in wales taken. 222.18.
Brendholme Edmunde,person,0.9,1,Brendholme Edmunde,B,Brendholme Edmunde put to death. 158.32.
Brenne Iohn,person,0.97,1,Brenne Iohn,B,Brenne Iohn King of Ierusalem commeth into England. 622.74.
Brent Foulkes,person,0.75,3,Brent Foulkes,B,Brent Foulkes poysoned dyeth. 625.50.
Brent Fulks,person,0.82,1,Brent Fulks,B,Brent Fulks taken and banished the Realme. 625.34.
Brentford battayle,place,0.81,1,Brentford battayle,B,"Brentford battayle, fought by the Englishmen against the Danes. 255.7."
Brennus,person,0.87,3,Brennus,B,Brennus marryeth the Prince of Norway Elsung or Elisings daughter. 23.99.
Brereton,person,0.97,1,Brereton,B,Brereton captaine of the aduenturers slaine. 1531.30.
Brest,uncertain,0.45,1,Brest,B,Brest deliuered to the Duke of Britaine. 1090.2. b.
Bretaimous in Henaud,uncertain,0.2,1,Bretaimous in Henaud,B,Bretaimous in Henaud held by Britaines. 87.99.
Breton Iohn,person,0.97,1,Breton Iohn,B,"Breton Iohn, byshop of Hereford, taken prisoner by the Barons. 726.47"
Breuse,person,0.97,1,Breuse,B,Breuse Lady and her sonne taken and sent to prison. 570.15.
Breuse William,person,0.97,2,Breuse William,B,Breuse William and hys wyfe and children flye the realme for wordes the Lady Breuse spake of king Iohn. 566.67.
Briake,place,0.83,1,Briake,B,Briake in Britaine assaulted by Englishmen. pag. 1154. col. 1. lin. 20. taken. col. 2. lin. 2.
Brian,person,0.97,2,Brian,B,"Brian, sonne to Robert Earle of Gloucester. 379.37."
Brian Stanford,person,0.97,1,Brian Stanford,B,Brian Stanford Knight. pag. 1416. col. 2. lin. 42.
Bricennamere,uncertain,0.2,1,Bricennamere,B,Bricennamere. 222.19.
Bridge of London,place,0.92,1,Bridge of London,B,Bridge of London begun to be made of stone. 566.84.
Bridges Agnes,person,0.97,1,Bridges Agnes,B,Bridges Agnes doth penance for faining to be possessed by the diuell. 1870.46.
Bridgewater,uncertain,0.2,1,Bridgewater,B,Bridgewater. pag. 1321. col. 1. lin. 15.
Bridgnorth castle,place,0.92,2,Bridgnorth Castle | Bridgnorth castle,B,Bridgnorth Castle surrendred to the King. 396.13.
Brigantes,uncertain,0.45,3,Brigantes,B,"Brigantes vanquished by the Romanes, and their countrey for the most parte subdued. 66.70."
Briges,place,0.89,1,Briges,B,Briges besieged by the Welchmen. 408.40.
Brighthelme,person,0.7,1,Brighthelme,B,Brighthelme succeedeth Alfin in the Archbyshoprick of Cãtorburie. 233.82.
Brighthelmeton,place,0.89,1,Brighthelmeton,B,Brighthelmeton brent. 1494.17.
Brightnoth,person,0.87,2,Brightnoth,B,"Brightnoth leadyng an armie against the Danes, is slayne with most of his people. 239.53."
Brightrick,person,0.54,5,Brightrick,B,"Brightrick King of West Saxons marryeth Ethelburga, daughter to Offa. 195.32."
Brightwald,person,0.8,2,Brightwald,B,Brightwald fyrst Archbyshop of Cantorburie of the Englishe nation. 187.41
Brightwoldes,uncertain,0.2,1,Brightwoldes,B,"Brightwoldes vision, concernyng the succession of the crowne of England. 267.91."
Brightwoulf,person,0.91,1,Brightwoulf,B,"Brightwoulf King of Mercia, chased by the Danes. 206.113."
Brimefourd,uncertain,0.2,1,Brimefourd,B,Brimefourd. 226.27.
Brimsbery bridge,place,0.97,1,Brimsbery bridge,B,Brimsbery bridge repayred. 222.5.
Brinchilde,person,0.95,1,Brinchilde,B,"Brinchilde prince of Henand, ouerthroweth Brute Greenishield, prince of Britaine. 18.42."
Brinus,person,0.81,1,Brinus,B,Brinus conuerteth the West Saxons to ye Christian faith. 168.115.
Bryson Castle,place,0.82,1,Bryson Castle,B,Bryson Castle taken by ye Englishmen. 524.23.
Bristow,place,0.74,1,Bristow,B,Bristow taken by Robert Erle of Gloucester. 368.69.
Bristow Castle,place,0.95,4,Bristow Castle | Bristow castle,B,Bristow Castle. 371.21.
Britael,person,0.91,1,Britael,B,"Britael, kyng of Demetia. 39.12."
Britaigne Richard,person,0.97,1,Britaigne Richard,B,"Britaigne Richard, knight. 415.62."
Britaine,group,0.85,30,Britaine,B,Britaine of the Samothei called first Samothea. 2.76.
Britaine Britonant,group,0.85,1,Britaine Britonant,B,Britaine Britonant. 916.44. b.
Britaine in Fraunce,group,0.85,2,Britaine in Fraunce,B,"Britaine in Fraunce, to hold of the greater Britaine, and of the Kings thereof for euer. 95.72."
Britaine Prouince,group,0.85,1,Britaine Prouince,B,"Britaine Prouince lost, and the tribute ceaseth. 101.74."
Britaines,group,0.85,83,Britaines,B,Britaines ouerthrowne by the Saxons at Bedford. 142.105.
Britaines land,group,0.85,1,Britaines land,B,Britaines land into France for sound preachers against Pelagius heresie. 119.50
Britaintes,uncertain,0.2,1,Britaintes,B,"Britaintes send Ambassadors to Seuerus the Emperour, to entreate of peace. 79.26."
Britannicus,person,0.95,1,Britannicus,B,"Britannicus, sonne to Claudius the Emperour, so surnamed. 49.84."
Brittenden,uncertain,0.2,1,Brittenden,B,Brittenden. 220.26.
Britherike,uncertain,0.2,1,Britherike,B,"Britherike going foorth against Wylmote with a Fleete, leeseth the more part of his Shippes by a tempest. 244.99."
British,group,0.85,10,British,B,British tongue to this day retaineth some smack of the Greeke. 3.83.
British Church,group,0.85,1,British Church,B,"British Church differeth from the Romish, about the feast of Easter. 151.23."
British commons,group,0.85,1,British commons,B,British commons twice vanquished by the Nobilitie. 101.21.
British commons ryse,group,0.85,1,British commons ryse,B,British commons ryse agaynst the nobilitie. 101.20.
British Kynges,group,0.85,1,British Kynges,B,"British Kynges names whiche raigned from Elidurus, to Lud. 32.65. and. 32.100. and. 33.40."
British Monkes,group,0.85,1,British Monkes,B,British Monkes and Priestes slaine by Edelfred. 154.10.
Britons,group,0.85,1,Britons,B,Britons brene the town of Plimouth. pag. 1140. col. 2. lin. 28. woulde haue landed at Dartmouth. pag. 1142. col. 1. lin. 1. their crueltie. lin. 29.
Broc Philip,person,0.97,1,Broc Philip,B,"Broc Philip, Canon of Bedford, arreigned of murder, & banished the land. 402.47."
Broc Raynulfe,person,0.97,1,Broc Raynulfe,B,"Broc Raynulfe, accursed by Archbyshop Thomas Becket. 409.79."
Broc Randall,person,0.97,1,Broc Randall,B,Broc Randall appoynted ouerseer of the goodes and landes of the See of Cantorburie. 407.107.
Broc Randulfe,person,0.86,1,Broc Randulfe,B,"Broc Randulfe, keeper of Saltwood Castle. 415.99."
Broc Ranulph,person,0.93,1,Broc Ranulph,B,"Broc Ranulph, owner of Hagenet Castle. 431.49."
Broc Robert,person,0.97,1,Broc Robert,B,Broc Robert accursed. 417.27.
Broc Roger,person,0.97,1,Broc Roger,B,"Broc Roger, seruant to Archbishop Thomas Becket. 406.29."
Brock Robert,person,0.97,1,Brock Robert,B,"Brock Robert, Chaplaine vnto the Kyng, inuenteth Conduite pipes of Leade without souder. 1570.40."
Brocmale,person,0.41,2,Brocmale,B,"Brocmale or Brocmael, Earle or Maior of Chester. 153.91."
Brooke Iohn,person,0.76,1,Brooke Iohn,B,"Brooke Iohn, Lord Cobham. 1447.20."
Bromeley towne,place,0.95,1,Bromeley towne,B,Bromeley towne. 277.14.
Bromierd Philip,person,0.97,1,Bromierd Philip,B,Bromierd Philip. 1463.18.
Broughe,person,0.92,1,Broughe,B,Broughe Hubert Erle of Kent dyeth. 705.32.
Broughty,place,0.66,1,Broughty,B,Broughty crag wonne by ye Lord Clinton. 1630.17. besieged in vaine by Monsieur de Chapell. 1635. wonne by Monsieur de Chermes. 1702.
Broughton Thomas,person,0.97,1,Broughton Thomas,B,"Broughton Thomas knight a man of no small power and aucthoritie in Lancashyre, bydeth the Lord Louell. 1448.17. conspireth against ye king 1429.42. is slaine in battell. 1431.44."
Browne Antony,person,0.97,1,Browne Antony,B,"Browne Antony viscont Montagu sente Ambassadour vnto Rome. 1763.40. is Lieutenant of an armye sent into France. 1767.19 knight of the garter, is sent Commissioner to Bruges. 1835.26."
Brudus,person,0.96,1,Brudus,B,Brudus King of Pictes slayeth king Ecgfride. 185.28.
Bruydon Monasterie,place,0.95,1,Bruydon Monasterie,B,Bruydon Monasterie. 191.105.
Brumpton,person,0.84,1,Brumpton,B,"Brumpton Wylli. of Burford, attainted. 1425.55."
Brun hugh,person,0.97,2,Brun Hugh | Brun hugh,B,Brun Hugh Earle of Marche dyeth. 729.46.
Brunan,uncertain,0.2,1,Brunan,B,Brunan bright. 226.27.
Bruncham Castle,place,0.92,1,Bruncham Castle,B,"Bruncham Castle wonne by Kyng Iohns souldiers, and rased. 584.7."
Brute,person,0.82,21,Brute,B,Brute searcheth this land from one end to another. 15.68.
Brute Greeneshe<?>d,person,0.84,1,Brute Greeneshe<?>d,B,Brute Greeneshe<?>d bringeth al the realme of Fraunce vnder his subiection. 18.37.
Brute Greeneshield,person,0.87,3,Brute Greeneshield,B,"Brute Greeneshield dyeth, and is buried at Yorke. 18.60."
Brutes,uncertain,0.39,4,Brutes,B,Brutes prayer before the Oracle. 12.37.
Bucke Iohn,person,0.97,1,Bucke Iohn,B,Bucke Iohn attainted. 1425.51.
Buckenburne Robert,person,0.97,1,Buckenburne Robert,B,Buckenburne Robert attainted 1425.45.
Buckingham Castles,place,0.85,1,Buckingham Castles,B,Buckingham Castles builded. 221.45.
Buckinghamshyre,place,0.89,1,Buckinghamshyre,B,Buckinghamshyre wasted by the Danes. 245.71.
Buying,place,0.85,1,Buying,B,Buying and selling of men in England prohibited. 341.34.
Bu<?>yris,person,0.8,1,Bu<?>yris,B,Bu<?>yris slayne by Hercules in Egypt. 5.106.
Bulleyne,uncertain,0.45,1,Bulleyne,B,Bulleyne besieged. 1595.8. yeelded. 1796.40.
Bulleyne Anne,person,0.93,1,Bulleyne Anne,B,"Bulleyne Anne, daughter to the Earle of Wylshyre, is created Marchionesse of Penbrok. 1558.33. goeth wt the Kyng to Calice. ead. 44. is married to the kyng 1559.33. is crowned Queene. 1560.50. is committed to the Tower. 1565.5. is beheaded, and her speache before. 1565.18."
Bulleyne Thomas,person,0.91,3,Bulleyne Thomas,B,"Bulleyne Thomas, Viscont Rochefort created Earle of Wylshyre. 1553.10."
Bullenberg,place,0.8,1,Bullenberg,B,"Bullenberg assaulted by Chastillion, and valiantly defended. 1640.40."
Bulles,uncertain,0.33,2,Bulles,B,Bulles agaynst breakers of statutes. 1098.1. b
Bulgarie,place,0.81,1,Bulgarie,B,"Bulgarie, in olde time called Mesia. 103.31"
Buly,uncertain,0.45,1,Buly,B,Buly king of Powsey in Wales 122.58.
Bulmer Iohn,person,0.97,1,Bulmer Iohn,B,Bulmer Iohn knight put to death. 1570.10.
Bulmer Wylliam,person,0.97,2,Bulmer Wylliam,B,"Bulmer Wylliam knyght, discomfiteth the Lord Hume. 1487.34."
Bullocke Martin,person,0.97,1,Bullocke Martin,B,Bullocke Martin hanged. 1862.13.
Bunduica,person,0.5,1,Bunduica,B,"Bunduica, looke Voadicia."
Bunghey Castle,place,0.93,2,Bunghey Castle | Bunghey castle,B,Bunghey castle. 436.5.
Burcher Peter,person,0.97,1,Burcher Peter,B,"Burcher Peter his manifold madnesse, desperate deedes, and shamefull death. 1869.44."
Burdetknight,uncertain,0.2,1,Burdetknight,B,Burdetknight. pag. 1227. col. 1. lin. 32. lin. 56. col. 2. lin. 10. pag. 1237. col. 2. lin. 30
Burdiaur,uncertain,0.45,1,Burdiaur,B,Burdiaur yeelded to the French pag. 1285. col. 2. lin. 14.
Buren,person,0.81,1,Buren,B,Buren Count at the siege of Muttrel. 1594.45.
Burgenild,person,0.95,1,Burgenild,B,"Burgenild, daughter to Kyng Kenvulf of Mercia. 205.40."
Burgoigne,place,0.63,1,Burgoigne,B,Burgoigne spared for money. 965.49. a.
Burialles,place,0.82,1,Burialles,B,Burialles found of late vppon Ashdone in Essex. 256.1.
Burnyng,place,0.85,1,Burnyng,B,Burnyng feuers reignyng in England. 314.26.
Burthred,person,0.84,4,Burthred,B,"Burthred Kyng of Mercia, marrieth kyng Ethelwolfus daughter. 206.9."
Burton vpon Trent,place,0.81,1,Burton vpon Trent,B,Burton vpon Trent. 583.64.
Burwham,uncertain,0.2,1,Burwham,B,Burwham. 1463.24.
Bussey Iordaine,person,0.82,1,Bussey Iordaine,B,Bussey Iordaine. 391.22.
Bussey Roger,person,0.97,1,Bussey Roger,B,Bussey Roger. 391.21.
Butler Piers,person,0.97,1,Butler Piers,B,Butler Piers created Earle of Ossory. 1550.15.
Caboto,uncertain,0.45,1,Caboto,C,Caboto Sebastian discouereth Moscouia. 1714.26.
Cador,person,0.48,2,Cador,C,"Cador Earle of Cornewall, slayeth Cheldrike. 133.28."
Cadsant Ile,place,0.95,1,Cadsant Ile,C,Cadsant Ile. 901.23. b.
Cadwallader,person,0.91,2,Cadwallader,C,"Cadwallader succeedeth his father Cadwallo, in the kyngdome of Britaine. 183.51"
Cadwallan,person,0.9,1,Cadwallan,C,Cadwallan Prince of Wales traytrously slayne. 453.25.
Cadwalline,person,0.5,1,Cadwalline,C,"Cadwalline, looke Cadwallo."
Cadwallo,person,0.97,8,Cadwallo,C,Cadwallo becommeth sole king of the Britaines. 145.50.
Cadwalloes,uncertain,0.33,2,Cadwalloes,C,Cadwalloes Image set vp for a terrour. 165.26
Cadwan,person,0.84,2,Cadwan,C,Cadwan elected kyng of the Britaines. 156.75.
Cadwane,person,0.91,1,Cadwane,C,Cadwane king of Northwales. 154.67.
Caen,place,0.96,3,Caen,C,Caen besieged and yeelded to the French. pag. 1276. col. 2 lin. 2.
Caen Abbey in Normandy,place,0.91,1,Caen Abbey in Normandy,C,Caen Abbey in Normandy builded. 315.91.
Caen castle,place,0.97,1,Caen castle,C,Caen castle repayred. 359.59.
Caen in Normandy,place,0.97,1,Caen in Normandy,C,Caen in Normandy besieged by Henry the .5. pag. 1187. col. 2. lin. 41. wonne. pag. 1188. col. 1. lin. 40. Cain castle yelded. pag. ibidem. col. 2. lin. 23 peopled with Englishe. pag. 1189. col. 2. lin. 28.
Caerbran,place,0.86,1,Caerbran,C,"Caerbran, now called the citie of Bathe. 19.24"
Caerbranke citie,place,0.97,1,Caerbranke citie,C,"Caerbranke citie, nowe called Yorke, by whom buylded. 18.10."
Caergrant,place,0.83,1,Caergrant,C,"Caergrant, nowe called Cambridge. 30.59."
Caerguent,place,0.72,1,Caerguent,C,"Caerguent, or Winchester builded. 19.3."
Caerleil citie,place,0.96,2,Caerleil citie,C,Caerleil citie recouered from the Scottes. 397.3.
Caerleon citie,place,0.97,1,Caerleon citie,C,"Caerleon citie, nowe called Chester, by whom builded. 18.75."
Caerlier,place,0.8,1,Caerlier,C,"Caerlier, now called Leicester, builded. 19.57."
Caerlton,place,0.83,1,Caerlton,C,"Caerlton, now called Gloucester. 51.53."
Caerlud,uncertain,0.2,1,Caerlud,C,"Caerlud, the name of London. 33.115."
Caermalet,place,0.5,1,Caermalet,C,"Caermalet, looke Cameletum."
Caernaruan,place,0.89,1,Caernaruan,C,Caernaruan burned. 810.19. b.
Cahors citie,place,0.97,1,Cahors citie,C,Cahors citie recouered by the Englishmen. 399.36.
Cay,person,0.91,1,Cay,C,"Cay doctor, cited. 2.76. and 3.8. and .3.94. and .4.2. and 4.47."
Cairbadon,place,0.86,1,Cairbadon,C,"Cairbadon, now called the citie of Bathe. 21.97."
Caircone castle,place,0.92,1,Caircone castle,C,Caircone castle fortified against kyng Henry the fyrst. 339.60.
Cairleon,uncertain,0.45,1,Cairleon,C,Cairleon Ar Wiske builded. 27.94.
Calaice,place,0.69,1,Calaice,C,Calaice besieged. 1770.30. is yeelded. 1771.50.
Calater wood in Scotland,place,0.97,1,Calater wood in Scotland,C,Calater wood in Scotland. 24.29.
Caleis,place,0.79,2,Caleis,C,Caleis inhabited with Englishmen. 943.35. a.
Calice,place,0.86,2,Calice,C,Calice in old tyme called Icius Portus. 35.14.
Calice hauen,place,0.94,1,Calice hauen,C,Calice hauen in vayne attempted to be destroyed. 1526.11.
Calidonians,uncertain,0.2,2,Calidonians,C,Calidonians by ambushes snap vp the Romanes. 80.5.
Caligula,person,0.86,2,Caligula,C,"Caligula requireth to haue a triumph for conquering the Oceane, & is denied. 48.28."
Caligula Emperour of Rome,person,0.96,1,Caligula Emperour of Rome,C,"Caligula Emperour of Rome, prepareth an armie to go into Britaine. 47.66."
Calne,place,0.72,1,Calne,C,"Calne, a Manour belongyng to kyng Edward. 235.109. and .136.20."
Calphurmus Agricola,person,0.86,1,Calphurmus Agricola,C,"Calphurmus Agricola, sent Lieutenant into Britaine. 76.74."
Calphurnius,person,0.43,2,Calphurnius,C,"Calphurnius ye Romane Lieutenant, and his armye slayne. 76.90."
Calthrop Iohn,person,0.97,1,Calthrop Iohn,C,Calthrop Iohn his woorthy woorkes. 1714.40.
Camalodunum citie,place,0.82,1,Camalodunum citie,C,Camalodunum citie taken. 49.74.
Camber,person,0.87,1,Camber,C,"Camber, second sonne to Brute 16.33."
Cambrey,place,0.25,3,Cambrey,C,Cambrey electe Byshop taken prisoner by the French. 546.44.
Cambria,place,0.83,1,Cambria,C,"Cambria allotted to Camber, nowe called Wales. 16.40"
Cambridge,place,0.76,3,Cambridge,C,Cambridge burned by the Danes. 245.60.
Cambridge Thomas,uncertain,0.45,1,Cambridge Thomas,C,"Cambridge Thomas Clerke, present at the murdering of Archbishop Thomas Becket 416.95."
Cambridge Towne,place,0.84,1,Cambridge Towne,C,Cambridge Towne builded. 30.47. and .30.72.
Cambridge Vniuersitie,place,0.86,1,Cambridge Vniuersitie,C,"Cambridge Vniuersitie when founded, and by whom. 28.78."
Cambridgeshire,uncertain,0.2,1,Cambridgeshire,C,Cambridgeshire mens valiancie agaynst the Danes. 245.39.
Cambridgshire,uncertain,0.45,1,Cambridgshire,C,Cambridgshire annexed to the Sea of Ely. 349.94.
Cameletum Castle,place,0.95,1,Cameletum Castle,C,"Cameletum Castle, where it stoode. 54.64."
Camelgaret,person,0.83,1,Camelgaret,C,"Camelgaret a Welch byshop, taken prisoner by the Danes, and raunsomed. 221.20."
Campheius Laurence,person,0.97,1,Campheius Laurence,C,Campheius Laurence Cardinall Ambassadour fron Rome made Byshop of Lincolne. 1504.23.
Camudolon,uncertain,0.45,1,Camudolon,C,Camudolon all one citie wyth Camulodunum. 55.6.
Camuille Gerard,person,0.97,1,Camuille Gerard,C,"Camuille Gerard, depryued of the Sheriswike of Lincolnshire. 495.48. & 517.15. arreigned for receyuing of theeues. 517.67."
Camuisse Richard,person,0.97,1,Camuisse Richard,C,"Camuisse Richard, gouernour of Cypres, falieth sicke and dyeth. 494.28."
Camulodunum,place,0.69,5,Camulodunum,C,Camulodunum supposed by some to bee Duncastre or Pontfret. 55.10.
Cancorburie,uncertain,0.2,1,Cancorburie,C,"Cancorburie, or Kaerkyn buylded. 19.2."
Candida Casa,uncertain,0.2,1,Candida Casa,C,"Candida Casa, now Whiterne 192.27."
Cane in Normandy,person,0.83,1,Cane in Normandy,C,Cane in Normandy taken by kyng Henry the fyrst. 344.14.
Canne Robert,person,0.97,1,Canne Robert,C,"Canne Robert, a Monke of Cisteaur order. 406.77."
Cangi,place,0.41,2,Cangi,C,"Cangi, now the inhabitants of Denbighshyre in Wales. 54.7."
Canons,uncertain,0.2,1,Canons,C,Canons regular placed at Caerleil. 362.87.
Cantorbury,place,0.9,1,Cantorbury,C,Cantorbury better peopled then London. 246.32
Cantorbury Colledge,place,0.94,1,Cantorbury Colledge,C,Cantorbury Colledge in Oxford founded. 1003.50. a.
Cantorburie,place,0.86,5,Cantorburie,C,Cantorburie burned with casuall fire. 191.90.
Canute,person,0.5,1,Canute,C,"Canute, looke Cnute."
Canute Prudan,person,0.89,1,Canute Prudan,C,"Canute Prudan, marryeth Githa, daughter to Osgote Clappa. 268.1."
Canutus,person,0.85,2,Canutus,C,"Canutus and Harold, sonnes to king Swanus of Denmarke, sent into England with a Nauie. 300.25."
Capitaine Hanson,person,0.97,1,Capitaine Hanson,C,Capitaine Hanson. pag. 1304. col. 1. lin. 15. beheaded. col. 2. lin. 13.
Capitoll of Rome,place,0.81,1,Capitoll of Rome,C,Capitoll of Rome saued by the noyse of Ganders. 26.66.
Caratacus,person,0.75,7,Caratacus,C,Caratacus fortifyeth a place of defence against ye Romanes. 55.40.
Carausius,person,0.86,5,Carausius,C,"Carausius commaunded to bee slayne, escapeth. 83.19."
Cardes,uncertain,0.2,1,Cardes,C,"Cardes, Dice, or tables, forbidden. 466.28."
Cardiffe castle,place,0.91,1,Cardiffe castle,C,Cardiffe castle builded. 351.55.
Cardiffe castle in Wales,place,0.97,1,Cardiffe castle in Wales,C,Cardiffe castle in Wales. 346.18.
Cardigan,place,0.86,1,Cardigan,C,"Cardigan, and Carmardyn Townes in reales. pa. 1414 col. 2. lin. 2."
Cardigan castle,place,0.97,1,Cardigan castle,C,Cardigan castle wonne by the Welchmen. 408.40.
Cardinall Cualo,person,0.97,1,Cardinall Cualo,C,Cardinall Cualo conmeth ouer into England to kyng Iohn. 600.55. he excommunicateth Lewes the French kings sonne by name. 600.61.
Cardinal Gualo,person,0.97,1,Cardinal Gualo,C,Cardinal Gualo. 592.3.
Cardinall Hispanus,person,0.94,1,Cardinall Hispanus,C,Cardinall Hispanus. 844.13. b.
Cardinall of Piergort,person,0.85,1,Cardinall of Piergort,C,"Cardinall of Piergort, trauayleth to make peace. 958.23. a."
Cardinall of Saint Prarede,person,0.94,1,Cardinall of Saint Prarede,C,Cardinall of Saint Prarede dealeth al for money. 1023.14. b.
Cardinall of Tusculane,person,0.88,1,Cardinall of Tusculane,C,"Cardinall of Tusculane sent by the Pope to Kyng Iohn, to take away the interdiction of the Realme. 582.80. he deposeth the Abbot of Westminster. 582.90. he calleth a conuocation of the Clergie. 582.106."
Cardinal Somercot,person,0.97,1,Cardinal Somercot,C,Cardinal Somercot an Englishe man dyeth. 701.16.
Careticus,person,0.49,3,Careticus,C,"Careticus or Caretius, made King of Britaine. 143.83."
Carew,person,0.94,1,Carew,C,"Carew, the Baron of Carew slayne. 1478.22."
Carew Gawen,person,0.92,1,Carew Gawen,C,"Carew Gawen Knight rebellyng, is taken. 1727.58. is set at libertie. 1763.24."
Carew Iohn,person,0.95,1,Carew Iohn,C,"Carew Iohn Knight, attendeth on the Archduke vnto the court. 1459.28."
Carew Peter,person,0.96,1,Carew Peter,C,"Carew Peter knyght, conspireth with the Duke of Suffolke. 1727.53. fleeth beyond the seas. ead. 58."
Carewe Nicholas,person,0.97,1,Carewe Nicholas,C,"Carewe Nicholas knight, knight of the Garter, maister of the kinges house beheaded 1571.17. the speache which he used at his execution. ibidem."
Cary castle,place,0.72,1,Cary castle,C,Cary castle. 368.75.
Cary George,person,0.86,1,Cary George,C,"Cary George, sonne to the lorde Hunsdon, made knight. 1846 45. his letter of chalenge to the lord Fleming, with his answere, and Syr George his replie. 1848.29."
Cary Henry,person,0.82,1,Cary Henry,C,"Cary Henry knight, Lord of Honnesdon, caried the order of the Garter vnto Charles the nienth, the French kyng. 1834.36. warden of the East Marches, and gouernour of Barwicke, discomfited Leonard Dacres, & his complices. 1841.40."
Carleil,place,0.97,1,Carleil,C,Carleil repayred and peopled. 322.73.
Carleil castle,place,0.9,1,Carleil castle,C,Carleil castle builded. 322.77
Carlile,place,0.89,1,Carlile,C,Carlile besieged. 853.48. b.
Carlot,person,0.97,1,Carlot,C,Carlot queene of France. pag. 1316. col. 1. lin. 25.
Carow Edmũde,person,0.81,1,Carow Edmũde,C,Carow Edmũde knight. 1450 41.
Carpwald,person,0.94,2,Carpwald,C,Carpwald slayne by an Ethnicke. 162.38.
"Carpwald, ionne",person,0.97,1,"Carpwald, ionne",C,"Carpwald, ionne to Redwald, beareth only ye name of king of the Eastangles. 159.16."
Carta de Foresta,uncertain,0.2,1,Carta de Foresta,C,Carta de Foresta confirmed by Henry the third. 626.50.
Cartbridge Castle,place,0.92,1,Cartbridge Castle,C,Cartbridge Castle vppon Seuerne builded. 216.75.
Cartemandua,person,0.93,1,Cartemandua,C,"Cartemandua, Queene of the Brigantes, deliuereth Caratacus to ye Romanes. 56.23."
Cartile citie,place,0.92,1,Cartile citie,C,"Cartile citie, by whom & when builded. 18.70."
Cartimandua,person,0.92,2,Cartimandua,C,Cartimandua deliuered from her enimies by the Romanes 58.106.
Carton,person,0.85,1,Carton,C,Carton cited. 266.7.
Cassander,uncertain,0.45,1,Cassander,C,Cassander vsurpeth the kyngdome of Macedonie. 29.93
Cassibellane,person,0.96,9,Cassibellane,C,Cassibellane made generall of the Britaines agaynst the Romanes. 41.46.
Cassibellanes,uncertain,0.2,1,Cassibellanes,C,Cassibellanes dominion where it lay by likelihood. 41.39.
Casinare,person,0.94,1,Casinare,C,"Casinare Marques of Randealme, Ambassadour from the Emperour. 1458.40."
"Castle, Balon",place,0.9,1,"Castle, Balon",C,"Castle, Balon wonne by the Frenche king. 547.12."
Castle Chinon,place,0.97,1,Castle Chinon,C,Castle Chinon and Sawmer. 542.23.
Castle Galiard,place,0.97,1,Castle Galiard,C,Castle Galiard besieged and deliuered to the French king 557.19.
Castle of Chinon,place,0.92,1,Castle of Chinon,C,Castle of Chinon surrendred to King Iohn. 547.33.
Castle of Maydens,place,0.94,1,Castle of Maydens,C,Castle of Maydens in Albania builded. 18.13.
Castle of Pomfret,place,0.97,1,Castle of Pomfret,C,Castle of Pomfret deliuered to Roger de Lacy Constable of Chester. 546.12.
Castleford,uncertain,0.2,1,Castleford,C,Castleford. pag. 1311. col. 1. lin. 26.
Castles in England,place,0.97,1,Castles in England,C,Castles in England commaunded to be rased. 389.63.
Cataractone towne,place,0.95,1,Cataractone towne,C,Cataractone towne. 170.54.
Cataratacus,person,0.92,1,Cataratacus,C,"Cataratacus, sonne to Cynobellinus vanquished. 49.6."
Catesby Willyam,person,0.97,1,Catesby Willyam,C,Catesby Willyam atteinted. 1415.46.
Catharin,person,0.94,2,Catharin,C,"Catharin daughter to Ferdinande king of Hispaine maryed Prince Arthur. 1455.34. laye with Prince Arthur the night of her mariage. <?>dem. 1455.58. maryed to Henry the eyght. 1465.7. is crowned Queene. taden. 44. accusing the Cardinall appealeth to the Pope. 1552. 4. is not called Queene but Princesse Dowager. 1559. 50. is diuorsed. 1560.40. procureth a curse against the king and realme, and therfore her court is broken. 1561.30. writeth a letter vnto the king. 1564.1. dyeth. eadem. 12."
Catherine,person,0.97,1,Catherine,C,"Catherine, daughter vnto Henry the seuenth, borne and dyeth. 1451.56."
