paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
208,miles,601,606,foure,", and","foure miles , and"
209,miles,187,192,foure,aboue,foure miles aboue
209,miles,882,887,ſeuen,"of, where","ſeuen miles of, where"
209,miles,1128,1133,ſeuē,", as a","ſeuē miles , as a"
209,miles,2696,2701,thrée,aboue,thrée miles aboue
209,miles,2873,2878,thrée,by north,thrée miles by north
210,Winter,98,104,,chifes,Winter chifes
210,moore,600,605,in a,hanging,in a moore hanging
210,miles,748,753,fiue,from,fiue miles from
215,miles,342,347,twelue,from,twelue miles from
215,winter,763,769,but in,it rageth,but in winter it rageth
216,miles,609,614,thrée,"of, as","thrée miles of, as"
217,miles,195,200,foure,. From,foure miles . From
218,miles,51,56,fiftene,,fiftene miles
218,miles,998,1003,other two,it commeth,other two miles it commeth
219,miles,1163,1168,about 4.,by ſouth,about 4. miles by ſouth
222,Moore,363,368,Fawy,,Fawy Moore
222,miles,443,448,ſixetene,from,ſixetene miles from
223,King Edward,42,53,vnder,ye firſt,vnder King Edward ye firſt
223,Edward the third,64,80,"firſt,",", & Henry","firſt, Edward the third , & Henry"
223,king Edward,626,637,time of,the third,time of king Edward the third
224,miles,606,611,is 3.,from,is 3. miles from
224,Treſilian,3076,3085,halfe to,bridge,halfe to Treſilian bridge
225,miles,26,31,four,frō,four miles frō
225,miles,1005,1010,foure,or more,foure miles or more
226,Alane,2369,2374,goeth in,two myles,goeth in Alane two myles
226,ſtraw,3491,3496,in the,", whereof","in the ſtraw , whereof"
226,Arthur,3629,3635,where,fought,where Arthur fought
226,miles,4712,4717,riſeth 3.,by northeaſt,riſeth 3. miles by northeaſt
226,moore,4772,4777,in a,euen,in a moore euen
226,miles,5174,5179,then two,lower,then two miles lower
226,miles,5472,5477,ſeuen,", a","ſeuen miles , a"
226,miles,7880,7885,ſeuē,frō,ſeuē miles frō
226,miles,8614,8619,flowing two,aboue,flowing two miles aboue
234,miles,1195,1200,within two,,within two miles
235,miles,2013,2018,thrée,.Ogur,thrée miles .Ogur
235,miles,2696,2701,about two,and a,about two miles and a
235,miles,2889,2894,is two,", and","is two miles , and"
236,miles,237,242,24.,from,24. miles from
236,miles,1621,1626,Foure,alſo,Foure miles alſo
236,miles,1798,1803,Furthermore 2.,beneath,Furthermore 2. miles beneath
237,miles,149,154,thrée,from,thrée miles from
237,Dauid,1948,1953,Dewy or,all,Dewy or Dauid all
238,miles,249,254,foure,is Saluache,foure miles is Saluache
239,miles,482,487,foure,", and","foure miles , and"
242,miles,860,865,foure,farder,foure miles farder
243,miles,2485,2490,iij.,of to,iij. miles of to
244,miles,151,156,ſea two,aboue,ſea two miles aboue
244,riuers,642,648,betwéene two,. Botes,betwéene two riuers . Botes
244,miles,1653,1658,is two,aboue,is two miles aboue
244,miles,2098,2103,ſea 2.,aboue,ſea 2. miles aboue
244,Ros,3107,3110,Roſe or,and next,Roſe or Ros and next
244,miles,3784,3789,foure,lower,foure miles lower
245,dale,167,171,Rybbes,about,Rybbes dale about
245,miles,417,422,tenne,from,tenne miles from
245,gréene,508,514,commeth by,Hawghe,commeth by gréene Hawghe
246,ſands,536,541,vnto Ken,. Ken,vnto Ken ſands . Ken
249,ſands,343,348,on the,. Thys,on the ſands . Thys
249,Carew,2459,2464,Syllan.,. Neſſe,Syllan. Carew . Neſſe
249,Carew,4278,4283,"Sillan, &",) the,"Sillan, & Carew ) the"
249,Lewin,5554,5559,Lake,vnto,Lake Lewin vnto
250,dale,362,366,,10. miles,dale 10. miles
250,miles,371,376,dale 10.,from,dale 10. miles from
251,ket,90,93,,.The Cocket,ket .The Cocket
257,moore,289,294,Awſten,", it ioyneth","Awſten moore , it ioyneth"
257,Acton,2038,2043,goyng by,Aſperſheles,goyng by Acton Aſperſheles
258,Wallop,33,39,Burdop.,. Kellop,Burdop. Wallop . Kellop
258,Wallop,199,205,middlemoſt,and the,middlemoſt Wallop and the
258,Stanhope,383,391,thorow,parke,thorow Stanhope parke
259,miles,403,408,,of the,miles of the
260,Darlington,2300,2310,,: and,Darlington : and
260,Midleton,2522,2530,"Dunſley,","row,","Dunſley, Midleton row,"
264,Dale,133,137,Harwoode,by Cloughton,Harwoode Dale by Cloughton
276,miles,2165,2170,vij.,", as Lelande","vij. miles , as Lelande"
276,miles,2599,2604,,by water,miles by water
276,miles,2777,2782,5.,from,5. miles from
276,miles,2817,2822,"fery, 8.",frō,"fery, 8. miles frō"
276,miles,2897,2902,5.,", and","5. miles , and"
277,riuers,232,238,ſondry,in one,ſondry riuers in one
278,Weſton,602,608,"Bowton,",", Wiland","Bowton, Weſton , Wiland"
278,weſton,1173,1179,Colly,", Eſton","Colly weſton , Eſton"
278,Peter,2465,2470,from,borow,from Peter borow
279,miles,658,663,beginneth 4.,aboue,beginneth 4. miles aboue
279,riuers,2605,2611,theſe two,. From,theſe two riuers . From
280,Iohn,8234,8238,how D.,Caius,how D. Iohn Caius
281,Harleſton,2276,2285,and,", or","and Harleſton , or"
288,Weſton,576,582,"Iyng,",", and","Iyng, Weſton , and"
288,Brandon,1551,1558,gayng by,", B","gayng by Brandon , B"
288,Wotton,1973,1979,,; by Hemnal,Wotton ; by Hemnal
288,Harleſton,3984,3993,"Nedam,",", Rednam","Nedam, Harleſton , Rednam"
300,Browne,661,667,Henry,Eſquier,Henry Browne Eſquier
300,Iohn,850,854,frō,Cockſwettes,frō Iohn Cockſwettes
301,Thomas,206,212,where,Wiſeman,where Thomas Wiſeman
301,miles,1122,1127,riſeth 5.,or thereaboutes,riſeth 5. miles or thereaboutes
303,riuers,1799,1805,great,as I,great riuers as I
304,riuers,1025,1031,of the,", then","of the riuers , then"
308,Tame,773,777,vpon,", beneath","vpon Tame , beneath"
308,moore,2600,2605,Stanes,", and","Stanes moore , and"
308,moore,3045,3050,,", foure","moore , foure"
310,Stafford,1001,1009,eyther in,and Worceſter,eyther in Stafford and Worceſter
312,riuers,1997,2003,,. God,riuers . God
312,riuers,2157,2163,freſh,&,freſh riuers &
312,riuers,2347,2353,,.Hilles,riuers .Hilles
312,miles,2995,3000,,in length,miles in length
312,miles,3160,3165,,at the,miles at the
312,winter,4444,4450,,ſhould,winter ſhould
318,miles,270,275,thirtéene,in compaſſe,thirtéene miles in compaſſe
318,Tame,342,346,goeth by,the roote,goeth by Tame the roote
318,miles,1307,1312,or 30.,in length,or 30. miles in length
320,riuers,2805,2811,and the,Dée and,and the riuers Dée and
321,Edward the ſixt,2062,2077,,", as Leland","Edward the ſixt , as Leland"
321,Iohn,2127,2131,"eyght,",Harding,"eyght, Iohn Harding"
321,Harding,2132,2139,Iohn,vnto,Iohn Harding vnto
323,Morgan,692,698,after,the elder,after Morgan the elder
325,innocent,1340,1348,to the,partie,to the innocent partie
334,Conſtance,30,39,thys,", and","thys Conſtance , and"
334,innocent,413,421,kinges,goodneſſe,kinges innocent goodneſſe
337,Conan,250,255,gaue to,his coſin,gaue to Conan his coſin
338,Adrian,180,186,wall of,", where","wall of Adrian , where"
338,Adrian,1732,1738,wall of,. But,wall of Adrian . But
339,Conan,47,52,from,king,from Conan king
342,Arthur,0,6,,the ſonne,Arthur the ſonne
342,Arthur,846,852,,", being","Arthur , being"
343,Arthur,23,29,kyng,holding,kyng Arthur holding
347,Charles,790,797,with,then,with Charles then
357,Peter,122,127,graunted the,pē,graunted the Peter pē
357,Peter,211,216,albeit,and Paule,albeit Peter and Paule
357,Paule,221,226,Peter and,had lit,Peter and Paule had lit
361,Edward the firſt,0,16,,of that,Edward the firſt of that
361,Roger,437,442,beſide,Houeden,beſide Roger Houeden
362,king Edward,38,49,ſame,was Preſident,ſame king Edward was Preſident
363,Malcolme,726,734,ſlew,,ſlew Malcolme
363,dale,1124,1128,Annā,by his,Annā dale by his
366,Malcolme,39,47,homage of,king,homage of Malcolme king
367,Malcolme,218,226,conſtituted one,to be,conſtituted one Malcolme to be
367,Malcolme,412,420,"this,",did homage,"this, Malcolme did homage"
368,Edmund,0,6,,brother,Edmund brother
369,Edmund,33,39,thys,ſuccéeded,thys Edmund ſuccéeded
369,Edward,96,102,to an,. he not,to an Edward . he not
370,Edgar,0,5,,the ſonne,Edgar the ſonne
370,Edmund,19,25,ſonne of,", brother","ſonne of Edmund , brother"
370,Malcolme,298,306,made,prince,made Malcolme prince
371,Edgar,5,10,Thys,gaue,Thys Edgar gaue
371,William,1078,1085,rebelliō of,thē,rebelliō of William thē
372,Edgar,9,14,Moreouer,made,Moreouer Edgar made
373,Edgar,358,363,king,at Cheſter,king Edgar at Cheſter
373,Edgar,518,523,ſaid,ſitting,ſaid Edgar ſitting
374,Edward,0,6,,the ſonne,Edward the ſonne
374,Edgar,25,30,this,was next,this Edgar was next
374,Malcolme,105,113,cauſed,prince,cauſed Malcolme prince
374,king Edward,364,375,whome,woulde,whome king Edward woulde
374,Malcolme,424,432,proclaymed one,to be,proclaymed one Malcolme to be
375,Malcolme,144,152,laſt,,laſt Malcolme
375,Malcolme,214,222,this,ſorowfully,this Malcolme ſorowfully
376,Edmund,0,6,,ſurnamed,Edmund ſurnamed
376,Canutus,104,111,tyme,a Dane,tyme Canutus a Dane
376,Edmund,276,282,,: which,Edmund : which
376,Canutus,541,548,with,", & kéeping","with Canutus , & kéeping"
376,Canutus,823,830,,▪ whervpon,Canutus ▪ whervpon
376,Malcolme,841,849,whervpon,then,whervpon Malcolme then
376,Canutus,993,1000,ſame,for kingdome,ſame Canutus for kingdome
376,Canutus,1047,1054,ſayde.,helde,ſayde. Canutus helde
