paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
324,Robert,332,338,"Lucar,",Rose,"Lucar, Robert Rose"
324,William,345,352,"Rose,",Merick,"Rose, William Merick"
324,Iohn,361,365,"Merick,",Sparke,"Merick, Iohn Sparke"
324,Robert,378,384,and,,and Robert
325,William,86,93,,Gef,William Gef
325,William,179,186,was one,Geffrey,was one William Geffrey
325,Iohn,344,348,professed one,Moore,professed one Iohn Moore
325,Moore,349,354,Iohn,to be,Iohn Moore to be
325,William,461,468,"foloweth,",Geffrey,"foloweth, William Geffrey"
325,Iohn,646,650,pped.,Moore,pped. Iohn Moore
325,Moore,651,656,Iohn,was brought,Iohn Moore was brought
325,Iohn,810,814,sayde,Moore,sayde Iohn Moore
325,Moore,815,820,Iohn,being,Iohn Moore being
325,Iohn,1224,1228,was,Moore,was Iohn Moore
325,Moore,1229,1234,Iohn,sent,Iohn Moore sent
325,William,1263,1270,and,Geffrey,and William Geffrey
327,William,0,7,,Gef,William Gef
332,William,69,76,named,,named William
337,duke of Guise,389,402,that the,and hys,that the duke of Guise and hys
337,Henrie,1221,1227,"warre,Sir",Sydney,"warre,Sir Henrie Sydney"
337,Henrie,1299,1305,ouer Sir,Sydney,ouer Sir Henrie Sydney
346,Adrian,257,263,there Sir,Poynings,there Sir Adrian Poynings
346,Adrian,423,429,sayde Sir,his othe,sayde Sir Adrian his othe
346,Iohn,513,517,"Comptroller,",Fisher,"Comptroller, Iohn Fisher"
346,William,541,548,"porter,",,"porter, William"
346,William,602,609,"ordinace,",,"ordinace, William"
346,Thomas,665,671,Captayne,Wood,Captayne Thomas Wood
352,Adrian,1081,1087,him Sir,Poinings,him Sir Adrian Poinings
352,Poinings,1088,1096,Adrian,the,Adrian Poinings the
353,Duke of Guise,160,173,the,", and","the Duke of Guise , and"
372,William,278,285,and,Twedie,and William Twedie
374,Iohn,79,83,"Portesmouth,Sir",Portinatie,"Portesmouth,Sir Iohn Portinatie"
374,Iohn,178,182,came Sir,Portinarie,came Sir Iohn Portinarie
376,Iohn,18,22,"daye,Sir",More,"daye,Sir Iohn More"
376,Iohn,117,121,Sir,More,Sir Iohn More
377,Oliuer,242,248,"them,",Maners,"them, Oliuer Maners"
378,Edward,118,124,Captayne,Horsey,Captayne Edward Horsey
380,Iohn,186,190,Captayne,Ward,Captayne Iohn Ward
386,Hugh,60,64,and Sir,Paule,and Sir Hugh Paule
386,Paule,65,70,Hugh,", arriued","Hugh Paule , arriued"
388,Erle of Warwike,86,101,noble,", and","noble Erle of Warwike , and"
388,William,427,434,"dayes,",Lorde,"dayes, William Lorde"
397,Edward,23,29,Captayne,Horsey,Captayne Edward Horsey
397,Francis,82,89,Captaine,Blont,Captaine Francis Blont
404,Iohn,100,104,,Warde,Iohn Warde
404,Edward,121,127,Captaine,Dudley,Captaine Edward Dudley
406,Francis,73,80,,Clearke,Francis Clearke
410,Francis,102,109,belonging to,Clearke,belonging to Francis Clearke
422,Nicholas Throckmorton,117,138,,. Monsieur,Nicholas Throckmorton . Monsieur
422,Nicholas Throckmorton,187,208,sir,knight,sir Nicholas Throckmorton knight
425,Nicholas Throckmorton,70,91,Sir,Knight,Sir Nicholas Throckmorton Knight
425,Iohn,386,390,Captayne,Warde,Captayne Iohn Warde
434,Adrian,23,29,sir,Poynings,sir Adrian Poynings
434,Adrian,94,100,Sir,Poynings,Sir Adrian Poynings
439,Hugh Paulet,198,209,Sir,knight,Sir Hugh Paulet knight
439,Paulet,502,508,,returning,Paulet returning
441,Duke of Guise,1402,1415,after the,was slayne,after the Duke of Guise was slayne
441,Iohn,3028,3032,sir,Portinary,sir Iohn Portinary
441,Iohn,3455,3459,Captayne,Warde,Captayne Iohn Warde
442,Morton,408,414,"Warde,",", and","Warde, Morton , and"
449,Francis,137,144,Sainte,", and","Sainte Francis , and"
454,Edward,20,26,"Iune,",Dudley,"Iune, Edward Dudley"
456,Carew,304,309,Captayne,.,Captayne Carew .
457,Edward,35,41,Randoll.,,Randoll. Edward
458,Adrian,35,41,that Sir,Poynings,that Sir Adrian Poynings
458,Thomas,199,205,"agayne,Sir",Finche,"agayne,Sir Thomas Finche"
458,Thomas,249,255,Sir,Finche,Sir Thomas Finche
458,Thomas,505,511,kinsman,Finch,kinsman Thomas Finch
458,Wentworth,951,960,Lorde,",","Lorde Wentworth ,"
458,Wentworth,986,995,Iames,", and","Iames Wentworth , and"
458,Iohn,1001,1005,and,Wentworth,and Iohn Wentworth
458,Wentworth,1006,1015,Iohn,", with","Iohn Wentworth , with"
458,Thomas,1388,1394,"Rie,Sir",Finch,"Rie,Sir Thomas Finch"
459,Thomas,21,27,of Sir,Finche,of Sir Thomas Finche
460,Edward,55,61,"Gentleman,",Randoll,"Gentleman, Edward Randoll"
460,Iohn,218,222,,Shute,Iohn Shute
461,Sanders,40,47,Richarde,",A supply","Richarde Sanders ,A supply"
461,William,104,111,Captayne,Saul,Captayne William Saul
462,Knolles,78,85,Frauncis,",Sir Francis","Frauncis Knolles ,Sir Francis"
462,Francis Knolles,90,105,"Knolles,Sir",. Vicechamberlaine,"Knolles,Sir Francis Knolles . Vicechamberlaine"
474,Ferdinando,374,384,,Liggens,Ferdinando Liggens
474,Philip,394,400,"Liggens,",Sturley,"Liggens, Philip Sturley"
474,Iohn,410,414,"Sturley,",Highfielde,"Sturley, Iohn Highfielde"
477,Sanders,63,70,Captayne,was hurt,Captayne Sanders was hurt
481,Bell,390,394,great,", cleane","great Bell , cleane"
482,William,17,24,"euening,",Robinson,"euening, William Robinson"
482,William,63,70,killed.,Bromfield,killed. William Bromfield
482,William,91,98,was,Robinson,was William Robinson
482,William,216,223,&,Bromfielde,& William Bromfielde
483,Hugh Paulet,76,87,Sir,Knighte,Sir Hugh Paulet Knighte
487,Hugh Paulet,23,34,Sir,.The Lord,Sir Hugh Paulet .The Lord
487,Hugh,69,73,appoynted sir,,appoynted sir Hugh
487,Paulet,92,98,,to goe,Paulet to goe
488,Hugh,148,152,sayde Sir,", offered","sayde Sir Hugh , offered"
507,William,185,192,"Iuly, M.",,"Iuly, M. William"
509,Hugh Paulet,330,341,Sir,", Captayne","Sir Hugh Paulet , Captayne"
509,Iohn,404,408,Captaine,Shute,Captaine Iohn Shute
520,Oliuer,54,60,maister,Maners,maister Oliuer Maners
524,Edward,348,354,where of,Randolfe,where of Edward Randolfe
526,Darcie,246,252,Auerie,brother,Auerie Darcie brother
526,Darcie,274,280,Lorde,", Iohn","Lorde Darcie , Iohn"
526,Iohn,282,286,"Darcie,",Zouch,"Darcie, Iohn Zouch"
526,Thomas,357,363,"Ormesby,",Drurie,"Ormesby, Thomas Drurie"
526,Drurie,364,370,Thomas,", alias","Thomas Drurie , alias"
526,Richard,406,413,"Poignard,",Croker,"Poignard, Richard Croker"
526,Iohn,422,426,"Croker,",Cockson,"Croker, Iohn Cockson"
526,Thomas,436,442,"Cockson,",Remishe,"Cockson, Thomas Remishe"
526,Iohn,452,456,"Remishe,",Prowde,"Remishe, Iohn Prowde"
526,William,465,472,"Prowde,",Saul,"Prowde, William Saul"
527,Richard,237,244,,Sanders,Richard Sanders
527,Sanders,245,252,Richard,", with","Richard Sanders , with"
530,Philip,21,27,King,at Bruxels,King Philip at Bruxels
532,Thomas,134,140,to sir,Lodge,to sir Thomas Lodge
532,Iohn,559,563,Wherefore Sir,Whight,Wherefore Sir Iohn Whight
538,Grafton,122,129,,. A peace,Grafton . A peace
539,Henrie,68,74,honourable Sir,Carie,honourable Sir Henrie Carie
541,Peter,73,78,of S.,a watch,of S. Peter a watch
543,Bell,392,396,with a,", and","with a Bell , and"
545,Ferdinando,76,86,,the Emperor,Ferdinando the Emperor
545,Ferdinando,206,216,for,late,for Ferdinando late
549,Henrie,19,25,,Stuart,Henrie Stuart
549,Henrie,80,86,"Februarie,",Stuart,"Februarie, Henrie Stuart"
549,Marie,503,508,maried,Queene,maried Marie Queene
550,Wotton,182,188,Doctor,one of,Doctor Wotton one of
551,Margaret,147,155,Ladie,cou,Ladie Margaret cou
551,Francis Knolles,337,352,by Sir,",","by Sir Francis Knolles ,"
555,Barnes,589,595,diuerse,", Chimneys","diuerse Barnes , Chimneys"
556,Margraue,22,30,Prince and,of Baden,Prince and Margraue of Baden
556,Baden,34,39,Margraue of,",The Margraue","Margraue of Baden ,The Margraue"
556,Margraue,44,52,"Baden,The",or Marques,"Baden,The Margraue or Marques"
556,Baden,67,72,Marques of,. with,Marques of Baden . with
557,Anne,130,134,maryed,eldest,maryed Anne eldest
558,Robert,70,76,"seruiceable man,",Thomas,"seruiceable man, Robert Thomas"
558,Thomas,77,83,Robert,slaine,Robert Thomas slaine
558,Robert,117,123,,Thomas,Robert Thomas
558,Thomas,124,130,Robert,", maister","Robert Thomas , maister"
558,Erle of Warwike,236,251,sayde,was generall,sayde Erle of Warwike was generall
560,Charles,239,246,king,the,king Charles the
560,Thomas,613,619,inuested,Duke,inuested Thomas Duke
560,Robert,643,649,and,Earle,and Robert Earle
563,Baden,15,20,Marques of,", and","Marques of Baden , and"
563,Baden,89,94,Marques of,returneth,Marques of Baden returneth
563,Cobham,360,366,Lorde,", an","Lorde Cobham , an"
564,Thomas,630,636,worshipfull sir,Gresham,worshipfull sir Thomas Gresham
564,Gresham,637,644,Thomas,knight,Thomas Gresham knight
570,Edward,22,28,Captaine,Randolfe,Captaine Edward Randolfe
571,Charles Iames,64,77,ened.,", the","ened. Charles Iames , the"
571,Henrie,111,117,sonne to,Stuart,sonne to Henrie Stuart
571,Marie,165,170,and,", King","and Marie , King"
571,Charles,441,448,"were,",king,"were, Charles king"
572,Henrie,168,174,"morning,",Stuart,"morning, Henrie Stuart"
575,Margaret,35,43,Ladie,Dowglas,Ladie Margaret Dowglas
576,Richard,345,352,sir,Mallorie,sir Richard Mallorie
576,William,367,374,sir,Hewet,sir William Hewet
576,Thomas,390,396,and sir,,and sir Thomas
576,Lambert,448,455,Richarde,one of,Richarde Lambert one of
579,miles,122,127,viij.,from,viij. miles from
579,Barnes,185,191,besides,", stables","besides Barnes , stables"
580,Henrie,394,400,of sir,Sidney,of sir Henrie Sidney
580,Alexander,1216,1225,conducting of,,conducting of Alexander
582,Maximilian,24,34,Emperour,the seconde,Emperour Maximilian the seconde
582,Thomas,160,166,honourable,Erle,honourable Thomas Erle
582,Thomas,477,483,,Mildmay,Thomas Mildmay
582,Henrie,500,506,"knight,",Cobham,"knight, Henrie Cobham"
582,Cobham,507,513,Henrie,esquier,Henrie Cobham esquier
582,miles,1606,1611,Duche,from,Duche miles from
584,Charles,67,74,"Vienna,",Archeduke,"Vienna, Charles Archeduke"
585,Henrie,101,107,,Brooke,Henrie Brooke
585,Cobham,122,128,alias,", one","alias Cobham , one"
585,William,587,594,and,,and William
586,Charles,343,350,Archeduke,", and","Archeduke Charles , and"
587,Winter,88,94,sharpe,", namely","sharpe Winter , namely"
588,Grafton,124,131,"shippes,",. and,"shippes, Grafton . and"
588,William,415,422,,Holstocke,William Holstocke
588,Philip,576,582,king,. And,king Philip . And
589,William,71,78,sayde,,sayde William
589,William,182,189,being,Wynter,being William Wynter
589,Iohn,283,287,and,Basing,and Iohn Basing
589,Thomas,343,349,and,,and Thomas
591,Thomas,91,97,deceassed,Yong,deceassed Thomas Yong
594,Philip,215,221,"Ianuarie,",Mestrell,"Ianuarie, Philip Mestrell"
600,Thomas,69,75,prepared.Sir,Roe Lord,prepared.Sir Thomas Roe Lord
601,Iohn,59,63,and sir,White,and sir Iohn White
604,Thomas,57,63,Tower.,Howard,Tower. Thomas Howard
604,Howard,64,70,Thomas,duke,Thomas Howard duke
604,Henrie,251,257,sir,Neuill,sir Henrie Neuill
604,Neuill,258,264,Henrie,being,Henrie Neuill being
606,Thomas,87,93,rebelled.,Percey,rebelled. Thomas Percey
606,Charles,1080,1087,with,,with Charles
611,Moore,168,173,Clifford,",The number","Clifford Moore ,The number"
611,moore,232,237,,", they","moore , they"
612,Bernard,19,26,,Castel,Bernard Castel
612,Robert,200,206,and,Bowes,and Robert Bowes
614,Rutland,599,606,Earle of,,Earle of Rutland
614,Hunsdon,651,658,Lorde,general,Lorde Hunsdon general
614,Sadler,693,699,Raufe,Treasorer,Raufe Sadler Treasorer
614,William,719,726,Lord,Eures,Lord William Eures
615,Erle of Warwike,1075,1090,beside the,",The Earle","beside the Erle of Warwike ,The Earle"
615,Walter,1294,1300,also,Deuereux,also Walter Deuereux
615,Willoughbie,1389,1400,Lord,of Parrham,Lord Willoughbie of Parrham
615,Charles,1420,1427,Master,Howarde,Master Charles Howarde
615,Erle of Warwike,1522,1537,vnder the,", yong","vnder the Erle of Warwike , yong"
615,Henrie,1544,1550,yong,Knolles,yong Henrie Knolles
615,Knolles,1551,1558,Henrie,eldest,Henrie Knolles eldest
615,Knolles,1606,1613,Frauncis,", his","Frauncis Knolles , his"
616,Erle of Warwike,203,218,whereas the,", and","whereas the Erle of Warwike , and"
616,Robert,352,358,,Glouer,Robert Glouer
622,Dacres,197,203,Lenarde,of Harle,Lenarde Dacres of Harle
622,Dacres,344,350,the L.,", then","the L. Dacres , then"
622,Dacres,896,902,Leonarde,",","Leonarde Dacres ,"
622,Iohn,997,1001,and Sir,,and Sir Iohn
622,Forster,1020,1027,,Lord,Forster Lord
622,Dacres,1402,1408,Leonarde,being,Leonarde Dacres being
625,Iohn,300,304,welled sir,Forster,welled sir Iohn Forster
625,Forster,305,312,Iohn,with,Iohn Forster with
626,Dacres,13,19,Leonarde,himselfe,Leonarde Dacres himselfe
626,Dacres,117,123,Leonard,chased,Leonard Dacres chased
626,miles,165,170,foure,of the,foure miles of the
627,Dacres,722,728,Leonarde,hadde,Leonarde Dacres hadde
628,Iohn,74,78,"Askue,",Fulthorpe,"Askue, Iohn Fulthorpe"
628,Robert,110,116,"Esquires,",Peneman,"Esquires, Robert Peneman"
629,William,0,7,,Earle,William Earle
630,William,491,498,,Drurie,William Drurie
630,Drurie,499,505,William,Marshall,William Drurie Marshall
630,miles,644,649,twelue,distant,twelue miles distant
631,Iohn,23,27,Sir,Forster,Sir Iohn Forster
631,Forster,28,35,Iohn,.The same,Iohn Forster .The same
631,Iohn,71,75,sir,Forster,sir Iohn Forster
631,Forster,76,83,Iohn,warden,Iohn Forster warden
632,miles,505,510,foure,from,foure miles from
634,William,126,133,Marshall sir,Drurie,Marshall sir William Drurie
634,Drurie,134,140,William,", passed","William Drurie , passed"
639,Drurie,139,145,maister,", and","maister Drurie , and"
640,Drurie,52,58,maister,", with","maister Drurie , with"
640,Drurie,356,362,maister,accordingly,maister Drurie accordingly
643,Drurie,196,202,maister,", roade","maister Drurie , roade"
646,Drurie,45,51,maister,verie,maister Drurie verie
648,Drurie,227,233,maister,", and","maister Drurie , and"
649,Drurie,21,27,maister,talked,maister Drurie talked
649,William,125,132,vnto,Trotter,vnto William Trotter
650,Drurie,130,136,maister,the Marshall,maister Drurie the Marshall
651,Drurie,379,385,maister,two myles,maister Drurie two myles
652,Drurie,141,147,maister,vnto,maister Drurie vnto
655,William,277,284,named,God saue,named William God saue
660,William,48,55,maister,Drurie,maister William Drurie
660,Drurie,56,62,William,the Marshall,William Drurie the Marshall
662,William,141,148,maister,Drurie,maister William Drurie
662,Drurie,149,155,William,ye Marshall,William Drurie ye Marshall
663,Drurie,75,81,Wil.,generall,Wil. Drurie generall
663,William,285,292,sayd sir,,sayd sir William
664,Thomas,228,234,sir,,sir Thomas
664,Robert,287,293,and sir,Conestable,and sir Robert Conestable
664,William,350,357,,Drurie,William Drurie
664,Drurie,358,364,William,the appoynted,William Drurie the appoynted
665,Robert,553,559,of sir,Conestable,of sir Robert Conestable
665,Iohn,687,691,captaine,Conestable,captaine Iohn Conestable
667,William,61,68,day sir,Drurie,day sir William Drurie
667,Drurie,69,75,William,", the","William Drurie , the"
668,Morton,174,180,Earles of,",","Earles of Morton ,"
671,Robert,37,43,sir,Conestable,sir Robert Conestable
671,William,376,383,Generall,Drurie,Generall William Drurie
671,Drurie,384,390,William,came,William Drurie came
673,William,22,29,Sir,Drurie,Sir William Drurie
673,Drurie,30,36,William,Generall,William Drurie Generall
674,Fleming,292,299,Lorde,that,Lorde Fleming that
675,William,10,17,After Sir,Drury,After Sir William Drury
675,Fleming,739,746,,", and","Fleming , and"
675,Fleming,971,978,Lorde,woulde,Lorde Fleming woulde
675,Fleming,1081,1088,Lord,is required,Lord Fleming is required
675,Fleming,1179,1186,Lorde,consented,Lorde Fleming consented
675,Fleming,1709,1716,Lorde,. but,Lorde Fleming . but
676,William,18,25,"incling,Sir",Drurie,"incling,Sir William Drurie"
676,Drurie,26,32,William,goeth,William Drurie goeth
676,William,105,112,Ma Sir,Drurie,Ma Sir William Drurie
676,Drurie,113,119,William,accompanyed,William Drurie accompanyed
676,Fleming,237,244,Lorde,", vppon","Lorde Fleming , vppon"
676,William,355,362,sayde Sir,,sayde Sir William
676,Drurie,381,387,,Englishe,Drurie Englishe
676,Fleming,595,602,,. which,Fleming . which
676,Iohn,805,809,named,Fleming,named Iohn Fleming
676,Fleming,810,817,Iohn,", that","Iohn Fleming , that"
676,Fleming,1233,1240,Lorde,for his,Lorde Fleming for his
678,William,23,30,Sir,Drurie,Sir William Drurie
678,Drurie,31,37,William,then,William Drurie then
678,Fleming,82,89,Lord,was not,Lord Fleming was not
678,Fleming,316,323,Lorde,", made","Lorde Fleming , made"
679,Fleming,160,167,Lorde,", the","Lorde Fleming , the"
680,Fleming,87,94,,.LOrd,Fleming .LOrd
680,Fleming,100,107,LOrd,", if eyther","LOrd Fleming , if eyther"
681,miles,2002,2007,English,from,English miles from
682,Fleming,6,13,LOrde,", often","LOrde Fleming , often"
684,Moore,191,196,on the,before,on the Moore before
684,William,362,369,of Sir,Drury,of Sir William Drury
685,William,24,31,Maye Sir,Drurye,Maye Sir William Drurye
685,William,395,402,with Sir,Drury,with Sir William Drury
686,William,15,22,Sir,Drury,Sir William Drury
686,William,262,269,"him,Sir",Drury,"him,Sir William Drury"
688,William,187,194,whom Sir,Drury,whom Sir William Drury
688,Thomas,443,449,,Maners,Thomas Maners
690,Morton,44,50,and,with,and Morton with
690,Morton,134,140,Lenox and,. The,Lenox and Morton . The
694,William,22,29,Maye sir,Drury,Maye sir William Drury
698,Fleming,52,59,Lorde,", was","Lorde Fleming , was"
698,William,754,761,But Sir,Drury,But Sir William Drury
700,Morton,113,119,of,", that","of Morton , that"
700,Morton,286,292,,", an intercessor","Morton , an intercessor"
702,William,64,71,by sir,Drury,by sir William Drury
702,Morton,424,430,Earle of,",Lithquo","Earle of Morton ,Lithquo"
705,Thomas,1291,1297,"shorte,Sir",Maners,"shorte,Sir Thomas Maners"
705,Thomas,1346,1352,,Maners,Thomas Maners
706,William,31,38,Sir,Drewry,Sir William Drewry
711,Robert,62,68,with sir,Conestable,with sir Robert Conestable
713,Iohn,444,448,one,,one Iohn
716,Thomas,27,33,vttered by,Kete,vttered by Thomas Kete
716,Iohn,68,72,vnto,Kensey,vnto Iohn Kensey
716,Iohn,327,331,,Throckmorton,Iohn Throckmorton
716,Throckmorton,332,344,Iohn,", and","Iohn Throckmorton , and"
716,Gilbert,660,667,"Iustice,",Gerard,"Iustice, Gilbert Gerard"
716,Gerard,668,674,Gilbert,",","Gilbert Gerard ,"
716,Iohn,1033,1037,were,Throckmorton,were Iohn Throckmorton
716,Throckmorton,1038,1050,Iohn,,Iohn Throckmorton
716,Thomas,1316,1322,executed,Brooke,executed Thomas Brooke
717,Duke of Northfolke,93,111,the,was remoued,the Duke of Northfolke was remoued
718,Iohn,109,113,"Londo,",Felton,"Londo, Iohn Felton"
718,Iohn,468,472,executed.,Felton,executed. Iohn Felton
719,riuers,458,464,the,of Eske,the riuers of Eske
719,Edward,602,608,belonging to,,belonging to Edward
719,William,1459,1466,perteyning to,Maxwell,perteyning to William Maxwell
720,Arthur,142,148,beeing,Greames,beeing Arthur Greames
720,Hastings,426,434,Edwarde,", Sir","Edwarde Hastings , Sir"
720,Francis,440,447,Sir,Russell,Sir Francis Russell
720,Russell,448,455,Francis,", Sir","Francis Russell , Sir"
720,Browne,471,477,Valentine,", Sir","Valentine Browne , Sir"
720,William,501,508,,Hilton,William Hilton
720,Robert,521,527,Sir,Stapleton,Sir Robert Stapleton
721,Thomas,316,322,therof by,Knel,therof by Thomas Knel
733,Thomas Smith,10,22,one,of Yarmouth,one Thomas Smith of Yarmouth
743,Smith,8,13,Maister,at the,Maister Smith at the
743,storie,137,143,third,", and","third storie , and"
752,William,8,15,Maister,Askugh,Maister William Askugh
752,Hugh,38,42,Sir,Askugh,Sir Hugh Askugh
759,miles,238,243,tenne,against,tenne miles against
763,William,250,257,if one,,if one William
763,William,411,418,same,White,same William White
770,miles,26,31,four,from,four miles from
781,Thomas,359,365,to Sir,Greshams,to Sir Thomas Greshams
785,Thomas,43,49,Sir,Sackuille,Sir Thomas Sackuille
785,Buckhurst,70,79,Baron of,,Baron of Buckhurst
785,Charles,147,154,Maiestie to,the ninth,Maiestie to Charles the ninth
785,Maximilian,273,283,Emperoure,as for,Emperoure Maximilian as for
792,Buckhurst,469,478,of,for the,of Buckhurst for the
793,Buckhurst,20,29,Lord,had bin,Lord Buckhurst had bin
795,Edward,202,208,were,,were Edward
795,Charles,244,251,"Oxforde,",Howard,"Oxforde, Charles Howard"
795,Howard,252,258,Charles,", Sir","Charles Howard , Sir"
796,Iohn,60,64,"Iune,",Story,"Iune, Iohn Story"
797,Iohn,312,316,and,Kime,and Iohn Kime
