paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
797,Thomas,398,404,againste,Paramore,againste Thomas Paramore
797,Thomas,809,815,sayd,Paramour,sayd Thomas Paramour
797,Thomas,6221,6227,,Thorne,Thomas Thorne
799,Thomas,115,121,wife to,Chamber,wife to Thomas Chamber
799,Thomas,206,212,said,Chamber,said Thomas Chamber
801,Iohn,44,48,deceassed,Iewell,deceassed Iohn Iewell
802,William,173,180,by M.,Foulkes,by M. William Foulkes
803,William,62,69,London sir,Allin,London sir William Allin
810,Iohn,499,503,"estimation,",Cardone,"estimation, Iohn Cardone"
811,Iohn,309,313,was Don,de Austria,was Don Iohn de Austria
811,Sebastian,386,395,"there,",Veniero,"there, Sebastian Veniero"
814,William,30,37,"Ianuary,Sir",Peter,"Ianuary,Sir William Peter"
814,Peter,38,43,William,deceased,William Peter deceased
814,William,85,92,deceassed Sir,Peeter,deceassed Sir William Peeter
815,Thomas,129,135,Lord,Howarde,Lord Thomas Howarde
815,Duke of Northfolke,144,162,Howarde,", was","Howarde Duke of Northfolke , was"
815,Talbot,258,264,,", Earle","Talbot , Earle"
819,William Paulet,35,49,deceassed Sir,,deceassed Sir William Paulet
819,Iohn,90,94,Sainte,",Sir William","Sainte Iohn ,Sir William"
819,William Paulet,99,113,"Iohn,Sir",Lorde,"Iohn,Sir William Paulet Lorde"
819,Winchester,210,220,of,", Knyghte","of Winchester , Knyghte"
823,Miles,745,750,from the,,from the Miles
825,Walter,93,99,"May,",Deueroux,"May, Walter Deueroux"
825,Ferrers,115,122,Lord,of Chartley,Lord Ferrers of Chartley
825,Clinton,214,221,Lord,and Say,Lord Clinton and Say
826,William Paulet,286,300,Sir,,Sir William Paulet
828,Bullocke,37,45,Martin,hanged,Martin Bullocke hanged
828,Bullocke,110,118,Martin,was hanged,Martin Bullocke was hanged
828,Arthur,290,296,named,Hall,named Arthur Hall
829,Arthur,34,40,said,Hall,said Arthur Hall
829,Arthur,146,152,said,had wel,said Arthur had wel
829,Bullocke,335,343,Martin,", but","Martin Bullocke , but"
829,Arthur,440,446,saide,was waying,saide Arthur was waying
829,Arthur,610,616,said,on the,said Arthur on the
829,Bullocke,1996,2004,wherevppon,beeyng,wherevppon Bullocke beeyng
830,Bullocke,64,72,that,was,that Bullocke was
830,Bullocke,343,351,after,. And,after Bullocke . And
830,Bullocke,752,760,"factes,",was at,"factes, Bullocke was at"
831,Dacres,256,262,the L.,", the","the L. Dacres , the"
831,Talbot,307,313,,", the","Talbot , the"
831,Sands,324,329,Lord,", and","Lord Sands , and"
831,Clinton,345,352,Lorde,", Sir","Lorde Clinton , Sir"
831,Arthur,358,364,Sir,Chambernowne,Sir Arthur Chambernowne
831,Edward,424,430,and Sir,Hastings,and Sir Edward Hastings
831,Hastings,431,439,Edward,Knightes,Edward Hastings Knightes
832,Francis,686,693,"party,",M,"party, Francis M"
832,Sebastian,756,765,,de Laubespine,Sebastian de Laubespine
832,Paule,785,790,and,de Foix,and Paule de Foix
832,Thomas,853,859,Sir,Smyth,Sir Thomas Smyth
833,Duke of Alanson,432,447,,", his","Duke of Alanson , his"
835,Thomas,121,127,beheaded,Howard,beheaded Thomas Howard
835,Howard,128,134,Thomas,Duke,Thomas Howard Duke
835,Duke of Northfolke,135,153,Howard,", was","Howard Duke of Northfolke , was"
836,Francis,45,52,Ambassadors.,Duke,Ambassadors. Francis Duke
836,Charles,177,184,generall to,the,generall to Charles the
836,Paule,232,237,and,de Foix,and Paule de Foix
839,Thomas,24,30,"Iune,",Lorde,"Iune, Thomas Lorde"
839,Wharton,37,44,Lorde,deceassed,Lorde Wharton deceassed
840,William,202,209,made sir,Cicill,made sir William Cicill
840,Cicill,210,216,William,Lorde,William Cicill Lorde
840,William,292,299,Lorde,Howard,Lorde William Howard
840,Howard,300,306,William,", late","William Howard , late"
840,Thomas Smith,413,425,sir,", principall","sir Thomas Smith , principall"
841,Thomas,22,28,"August,",Percy,"August, Thomas Percy"
841,Erle of Northumberland,70,92,beheaded.,",","beheaded. Erle of Northumberland ,"
842,Thomas Smith,105,117,Sir,", one","Sir Thomas Smith , one"
842,Thomas Smith,248,260,sonne,,sonne Thomas Smith
845,Iohn,26,30,"Nouember,",Hall,"Nouember, Iohn Hall"
846,winter,42,48,sharpe,.This,sharpe winter .This
847,William,137,144,"Ianuarie,",Lorde,"Ianuarie, William Lorde"
850,William,80,87,"Ianuarie,",,"Ianuarie, William"
851,William,783,790,charge of,Holstock,charge of William Holstock
851,William,1785,1792,sayde,Holstocke,sayde William Holstocke
853,Erle of Kent,20,32,"March,",deceased,"March, Erle of Kent deceased"
853,Erle of Kent,94,106,"Ruthen,",at Hernesey,"Ruthen, Erle of Kent at Hernesey"
854,Browne,216,222,George,cruelly,George Browne cruelly
854,Iohn,372,376,other,,other Iohn
855,Browne,69,75,George,,George Browne
855,Anne,171,175,Mistresse,Drurie,Mistresse Anne Drurie
855,Drurie,176,182,Anne,", that","Anne Drurie , that"
855,Barnes,282,288,Maister,in Woolwich,Maister Barnes in Woolwich
855,Iohn,497,501,him and,Bean,him and Iohn Bean
855,Barnes,544,550,maister,", but","maister Barnes , but"
855,Iohn,556,560,but,Bean,but Iohn Bean
856,Browne,33,39,"doing,",sent,"doing, Browne sent"
856,Drurie,55,61,Mystresse,worde,Mystresse Drurie worde
856,Roger,97,102,,Clement,Roger Clement
856,Clement,103,110,Roger,(among,Roger Clement (among
856,Roger,138,143,trustie,) hee,trustie Roger ) hee
856,Drurie,414,420,,", where","Drurie , where"
856,Roger,555,560,,", she","Roger , she"
856,Sanders,693,700,Mistresse,to gage,Mistresse Sanders to gage
856,Browne,789,795,that,was sought,that Browne was sought
856,Roger,874,879,same,", warning","same Roger , warning"
856,Drurie,1560,1566,mystresse,", who","mystresse Drurie , who"
856,Sanders,1772,1779,mystresse,was not,mystresse Sanders was not
856,Sanders,2280,2287,mistresse,of,mistresse Sanders of
857,Drurie,28,34,mistresse,and hir,mistresse Drurie and hir
857,Drurie,646,652,mistresse,at the,mistresse Drurie at the
857,Anne,968,972,giltie.,Sanders,giltie. Anne Sanders
857,Sanders,973,980,Anne,Anne,Anne Sanders Anne
857,Anne,981,985,Sanders,Drurie,Sanders Anne Drurie
857,Drurie,986,992,Anne,", & trustie","Anne Drurie , & trustie"
857,Roger,1004,1009,trustie,,trustie Roger
857,Sanders,1098,1105,maister,death,maister Sanders death
857,Roger,1325,1330,,", mystresse","Roger , mystresse"
858,Browne,24,30,Anthonye,hanged,Anthonye Browne hanged
858,Anthonie,47,55,Yorke,Browne,Yorke Anthonie Browne
858,Browne,56,62,Anthonie,brother,Anthonie Browne brother
858,Browne,95,101,George,",","George Browne ,"
861,William,98,105,,Drurie,William Drurie
861,Drurie,106,112,William,knight,William Drurie knight
862,William,42,49,sayde sir,Dunrie,sayde sir William Dunrie
862,Russell,86,93,Frauncis,", sir","Frauncis Russell , sir"
862,Henrie,117,123,sir,"Lee,","sir Henrie Lee,"
862,Thomas,155,161,,Cecill,Thomas Cecill
862,Thomas,455,461,,Sutton,Thomas Sutton
863,William,4,11,Sir,Kirkaudie,Sir William Kirkaudie
868,Neuill,27,33,maister,a Pencioner,maister Neuill a Pencioner
870,Peter,1040,1045,"great,",Burford,"great, Peter Burford"
870,Clement,1058,1065,Burford and,Wood,Burford and Clement Wood
873,Russell,69,76,Frauncis,for,Frauncis Russell for
874,Robert,573,579,and,Meluin,and Robert Meluin
874,William,828,835,of Sir,Drurie,of Sir William Drurie
874,Drurie,836,842,William,", Generall","William Drurie , Generall"
875,William,82,89,sayde sir,Drurie,sayde sir William Drurie
875,Drurie,90,96,William,", in presence","William Drurie , in presence"
875,William,235,242,sayde sir,Drurie,sayde sir William Drurie
875,Drurie,243,249,William,,William Drurie
878,William,55,62,of sir,Drurie,of sir William Drurie
878,Drurie,63,69,William,", our","William Drurie , our"
880,Thomas,19,25,"Iune,",Woodhouse,"Iune, Thomas Woodhouse"
880,Thomas,36,42,"Woodhouse,",Woodhouse,"Woodhouse, Thomas Woodhouse"
880,Drurie,538,544,VVilliam,generall,VVilliam Drurie generall
880,Henrie,687,693,Maister,Killigrew,Maister Henrie Killigrew
880,Thomas,1351,1357,Maister,Barton,Maister Thomas Barton
880,Barton,1358,1364,Thomas,.,Thomas Barton .
880,Thomas,1674,1680,Maister,Cecil,Maister Thomas Cecil
880,Knolles,1812,1819,VVilliam,.,VVilliam Knolles .
880,Thomas,1850,1856,Maister,Sutton,Maister Thomas Sutton
889,Walter,21,27,"August,",Erle,"August, Walter Erle"
889,Erle of Essex,28,41,Walter,", accompanyed","Walter Erle of Essex , accompanyed"
890,Smith,348,353,maister,", and","maister Smith , and"
890,Moore,366,371,master,Pencioners,master Moore Pencioners
892,Erle of Essex,4,17,The,hauing,The Erle of Essex hauing
892,Erle of Essex,58,71,"other,",captaine,"other, Erle of Essex captaine"
893,Peter,21,26,"October,",Burchet,"October, Peter Burchet"
893,Burchet,27,34,Peter,Gentleman,Peter Burchet Gentleman
893,Iohn,211,215,named,Hawkins,named Iohn Hawkins
893,Burchet,258,265,ter,ounded,ter Burchet ounded
893,William Winter,300,314,with sir,", and","with sir William Winter , and"
893,Burchet,505,512,sayde,beeing,sayde Burchet beeing
893,Peter,695,700,"Gentleman,",Burchet,"Gentleman, Peter Burchet"
893,Burchet,701,708,Peter,nd to,Peter Burchet nd to
893,Peter,1017,1022,"London,",Burchet,"London, Peter Burchet"
893,Burchet,1023,1030,Peter,abiured,Peter Burchet abiured
894,Peter,31,36,sayd,Burchet,sayd Peter Burchet
894,Burchet,37,44,Peter,was remoued,Peter Burchet was remoued
894,Hugh,319,323,called,Longworth,called Hugh Longworth
894,Burchet,409,416,sayd,walking,sayd Burchet walking
894,Peter,509,514,"fire,",Burchet,"fire, Peter Burchet"
894,Burchet,515,522,Peter,killeth,Peter Burchet killeth
894,Peter,1049,1054,"Gibet,",Buchet,"Gibet, Peter Buchet"
896,Oliuer,531,537,one,Heywood,one Oliuer Heywood
896,Thomas,785,791,one,,one Thomas
896,Iohn,834,838,and one,Cowper,and one Iohn Cowper
896,Browne,869,875,Ladie,", and","Ladie Browne , and"
899,Peter,309,314,Saint,vnder,Saint Peter vnder
901,Charles,164,171,London for,,London for Charles
914,Bell,942,946,The,in the,The Bell in the
916,Marie,389,394,virgin,.,virgin Marie .
921,Parker,157,163,Mathew,", Doctour","Mathew Parker , Doctour"
929,Marie,305,310,"Elizabeth,",", Margaret","Elizabeth, Marie , Margaret"
929,Margaret,312,320,"Marie,",", and","Marie, Margaret , and"
935,William,2291,2298,"y, &",Godard,"y, & William Godard"
940,Walter,0,6,,Deueroux,Walter Deueroux
943,Grafton,181,188,Richarde,", and","Richarde Grafton , and"
943,Iohn,231,235,,Stow,Iohn Stow
