Aburgauennie
Acton
Adela
Adelicia
Adnothus
Adrian
Adulfe
Agatha
Agelmarus
Agelnothus
Aimer
Alan
Alane
Alane le Rous
Albemarle
Albemarle William
Alberike
Albertus de Lasco
Aldgitha
Aldred
Alexander
Alice
Alice Peers
Almiramumoli
Alphonse
Anne Askew
Anne Bullen
Queene Anne
Anne
Anselme
Anthonie
Anthonie Cooke
Arkeneld
Arlet
Armetrid
Arnalt
Arthur
Arthur Greie
Arthur Plantagenet
Audleie
Babington
Bacon
Badbie
Baden
Baldwin
Baldwin de Riuers
Balioll
Banister
Barnard
Barnes
Barton
Baulbason
Beauford
Beaumont
Beauuois
Becket Thomas
Bele
Bell
Berengaria
Bernard
Bernard Drake
Betrice
Beuclerke
Beuclerke Henrie
Beumont
Black prince
Blacke Will
Blackwell
Bleothgent
Blewbeard
Bluet Robert
Blunt
Bohune Iohn
Boier
Boner
Boniface
Braie
Brambre
Brandon
Breame
Bromleie
Brotherton
Brotherton Thomas
Browne
Bruistar Breame
Brunkard
Brunkard Henrie
Bruse
Bruse Robert
Bucchanan
Buckhurst
Bullocke
Bulmer
Burchet
Burdet
Cadwallon
Caldwell
Calestine
Calixius
Campbell
Campeius
Canutus
Careie
Careie George
Carew
Carleill
Carter
Catesbie
Cauendish
Cementarius
Charles
Charles de Ualois
Charles Iames
Chaucer
Chaumont
Chaumount Hugh
Chéeke
Cheinie
Chisie
Chisie William
Christianus
Christine
Cicill
Clement
Clinton
Clinton Gefferie
Cobham
Collingham
Conan
Coniers
Conrade
Constance
Constantia
Cooke
Cooke Anthonie
Coplan
Copsti
Cordes
Countesse of Prouance
Countesse of Richmond
Countesse of Salisburie
Countesse of Warwike
Courtneie
Cox
Cranmer
Creichton
Crispine
Crispine William
Crofts
Crome
Cromwell
Crosbie
Crotoie
Culpepper
Cumin Robert
Curcie
Curcie Iohn
Curcie Robert
Curthose Robert
Dacres
Dale
Damport
Darcie
Darlington
Daubeneie
Dauid
de Gaunt
Denie Edward
Desmond Iohn
Digbie
Digbie Edward
Dimmocke
Dinham
Diram
Drake
Drake Bernard
Drake Francis
Drurie
Dudleie
Duke of Alanson
Duke of Aumarle
Duke of Austrich
Duke of Bauier
Duke of Bedford
Duke of Britaine
Duke of Buckingham
Duke of Burbons
Duke of Burgognie
Duke of Clarence
Duke of Excester
Duke of Gelderlands
Duke of Glocesters
Duke of Guise
Duke of Hereford
Duke of Ireland
Duke of Normandie
Duke of Northfolke
Duke of Northumberland
Duke of Orleance
Duke of Richmond
Duke of Saxonie
Duke of Suffolke
Duke of Summerset
Duke of Surrie
Duke of Yorke
Duncane
Edgar
Edgar Etheling
Edmund
Edmund Kneuet
Edrike Syluaticus
Edward
Edward Denie
Edward Digbie
Edward the fift
Edward the first
Edward the fourth
Edward the second
Edward the sixt
Edward the third
Egelsin
Egelwine
Egelwinus
Egmond
Egremond
Elenor
Elenor Cobham
Elisabeth
Elisabeth Barton
Elisabeth Greie
Elisabeth of Castile
Emperor Ferdinand
Emperor of Constantinople
Empresse Maud
Empson
Erle of Albemerle
Erle of Bedford
Erle of Caerleill
Erle of Derbie
Erle of Essex
Erle of Flanders
Erle of Kent
Erle of Lancaster
Erle of Leicester
Erle of March
Erle of Mellent
Erle of Northumberland
Erle of Ormond
Erle of Pearch
Erle of Richmond
Erle of Tholouze
Erle of Warwike
Erle Saier de Quincie
Erminfred
Ermingard
Espeke Walter
Estouteuille Robert
Etheling
Euers
Eugenie
Eustace
Eustace Fitziohn
Exton
Farrer
Ferdinand
Ferdinando
Fergusa
Ferreis
Ferrers
Fescampe William
Fitzalan William
Fitzarnulfe
Fitzbaldrike
Fitzempresse Henrie
Fitzgeffreie
Fitzhammon
Fitzhammon Robert
Fitziohn Eustace
Fitzleo
Fitzleo Peter
Fitzmoris
Fitzosbert
Fitzosborne
Fitzosborne William
Fitzroie
Fitzroie Oliuer
Fitzscroope
Fitzscroope Richard
Fitzsergus
Fitzsergus Gilbert
Fitzwalter
Fitzwilliams
Fléetwood
Fleming
Forster
Fouks de Brent
Foulgier
Foulgier Rafe
Francis
Francis de Ualois
Francis Drake
Francis Knolles
Francis Throckmorton
Frederike
Fulco
Fulke Greuill
Gabato Sebastian
Gardiner
Gardiner Stephan
Gaston de Bierne
Gaueston 
Gaueston Péers 
Gefferie Clinton
Geffreie
Gelasius
Gerard
Gerard de Cambill
Gifford
Gifford William
Gilbert
Gilbert de Gaunt
Gilbert Fitzsergus
Gilford
Gita
Goche
Gospatrike
Grafton
Grafton Richard
Grandmesuill
Grandmesuill Hugh
Gréene
Gréenfield
Gregorie
Greie
Greie Arthur
Greie Henrie
Gresham
Greuill Fulke
Griffin
Griffin ap Rées
Guenhera
Guido
Guie
Gurguint
Harding
Harding Stephan
Harleston
Harold
Harueie de Yuon
Hastings
Haukesford
Henrie
Henrie Beuclerke
Henrie Brunkard
Henrie Fitzempresse
Henrie Fitzroie
Henrie Greie
Henrie Sidneie
Henrie the eight
Henrie the fift
Henrie the first
Henrie the fourth
Henrie the second
Henrie the seuenth
Henrie the sixt
Henrie the third
Herbert
Hildebrand
Honorius
Howard
Hubert
Hubert de Burgh
Hugh
Hugh Chaumont
Hugh Grandmesuill
Hugh Lacie
Hugh Lou
Hugh Mortimer
Hugh Paulet
Hunsdon
Iacke
Iacke Straw
Iane
Iane de Ualois
Iaques
Iaques Arkeneld
Iasper
Iennie
Innocent
Iohn
Iohn a Chamber
Iohn Bohune
Iohn Curcie
Iohn Desmond
Iohn of Gaunt
Ione
Ione de Arc
Isabell
Isabell de Boulbec
Isleie
Iulies
Katharine
Kelwaie
Kelwaie Thomas
Ket
KIng Arthur
King Edward
King Harold
King Iohn
King Stephan
Kingston
Kiriell
Kiriell Thomas
Kneuet
Kneuet Edmund
Knolles
Knolles Francis
Lacie Hugh
Lacie Robert
Lacie Roger
Lacie Walter
Lambe
Lambert
Lanfranke
Leigh
Leo
Leolin
Lewes
Lewin
Lewis
Lewis le grosse
Longland
Lou Hugh
Louell William
Lucie Richard
Lumleie
Malcolme
Mallet
Mallet William
Mandeuill
Manners
Manners Thomas
Manwood
Marchades
Marcher
Margaret
Margraue
Marie
Marie Breame
Marie quéene of Scots.
Marleswine
Martine
Martine Sward
Matreuers
Maud
Maximilian
Melune
Mendoza
Midleton
Mildmaie
Miles
Minsterworth
Molineux
Moore
Morgan
Moris
Morleie
Mortimer
Mortimer Hugh
Morton
Mountfort
Mountfort Robert
Mountgomerie
Mountgomerie Roger
Mountioie
Mulbraie
Mulbraie Robert
Murcherdach
Neuill
Neuill Thomas
Newbolt
Nicholas Throckmorton
Nicholson
Nightinghale
Norris
Odo
Oldcastell
Oliuer
Oliuer Fitzroie
Oneile
Osmond
Otho
Othobone
Otuell
Owen
Paget
Palmer
Pandulph
Panier
Parker
Paschall
Pateshull
Patrike
Paule
Paulet
Paulet Hugh
Paulet William
Péers
Peers Alice
Péers Gaueston
Penbroke
Pendleton
Penker
Perers Alice
Perkin
Perkin Warbecke
Perot
Peter
Peter Fitzleo
Peters William
Peuerell
Peuerell William
Philip
Philip Sidneie
Philpot
Pius
Poinings
Pope Boniface
Pope Clement
Pope Eugenie
Pope Gregorie
Pope Hildebrand
Pope Honorius
Pope Innocent
Pope Iulies
Pope Leo
Pope Martine
Pope Othobone
Pope Paschall
Pope Paule
Pope Pius
Pope Sixtus Quintus
Pope Urban
Pope Wibteth
Queene Elenor
Queene Elisabeth
Queene Iane
Queene Ione
Queene Isabell
Queene Katharine
Quéene Margaret
Queene Marie
Quéene Maud
Quéene Philip
Radington
Rafe
Rafe Foulgier
Rafe Wilford
Raier
Raleigh
Ramelius
Ranulfe
Ranulfe de Meschines
Ratcliffe
Rées
Rées ap Meridoc
Remigius
Richard
Richard Fitzscroope
Richard Grafton
Richard Henrie
Richard Lucie
Richard Riuers
Richard the first
