paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
130,Queene,263,269,"him, in the late","Maries dayes, for","him, in the late Queene Maries dayes, for"
131,Queene,926,932,as of hir sister,Mary.,as of hir sister Queene Mary.
152,England,869,876,Queenes master of,for ayde against,Queenes master of England for ayde against
152,Queene,89,95,"nobilitie, and the",,"nobilitie, and the Queene"
152,Queene,309,315,therin.  And the,resisting them,therin.  And the Queene resisting them
152,Queene,563,569,ayde the sayde,",Frenchmen  into","ayde the sayde Queene ,Frenchmen  into"
152,Queene,952,958,to sue vnto the,of  Englande for,to sue vnto the Queene of  Englande for
153,Queene,360,366,"Guise, Vncle to the",of Fraunce and,"Guise, Vncle to the Queene of Fraunce and"
153,Queene,475,481,"neece, the foresayd",", as might bee gathered","neece, the foresayd Queene , as might bee gathered"
155,Queene,209,215,"aduersaries, and how the",of Scottes was,"aduersaries, and how the Queene of Scottes was"
195,Queene,40,46,"Trombull, the",regents Trumpet,"Trombull, the Queene regents Trumpet"
196,Queene,180,186,talke with the,. and the,talke with the Queene . and the
196,Queene,309,315,,as then lay within,Queene as then lay within
198,Queene,41,47,conference with the,", although an asistinence","conference with the Queene , although an asistinence"
198,Queene,188,194,Grey and the sayd,ought to haue reasson,Grey and the sayd Queene ought to haue reasson
199,Queene,419,425,hadde made to the,"Dowager, hee would","hadde made to the Queene Dowager, hee would"
208,England,65,72,embarqued to passe into,.,embarqued to passe into England .
209,Queene,75,81,returned from ye,"regent, after they","returned from ye Queene regent, after they"
211,Queene,153,159,the,Dowager.,the Queene Dowager.
241,Queene,242,248,conferre with the,Dowager.,conferre with the Queene Dowager.
245,Queene,56,62,talked with the,"Dowager, returned","talked with the Queene Dowager, returned"
300,Queene,268,274,"x. of Iune,The",Dowager departeth,"x. of Iune,The Queene Dowager departeth"
300,Queene,321,327,on which day the,Dowager departed,on which day the Queene Dowager departed
301,England,161,168,,", and Doctor Wotton","England , and Doctor Wotton"
301,Queene,499,505,his wife Marie,of Scotland.,his wife Marie Queene of Scotland.
311,Elizabeth,110,119,"mightie princesse,",by the grace of,"mightie princesse, Elizabeth by the grace of"
311,England,172,179,Queene of,", France, and Ireland","Queene of England , France, and Ireland"
311,Ireland,193,200,"England, France, and",", defender of the","England, France, and Ireland , defender of the"
311,Queene,162,168,,"of England, France","Queene of England, France"
311,Queene,354,360,,of Fraunce and,Queene of Fraunce and
314,England,1430,1437,Queenes Maiestie of,", and  to none other","Queenes Maiestie of England , and  to none other"
314,Queene,1238,1244,,of Fraunce and,Queene of Fraunce and
341,England,652,659,,.,England .
342,Queene,42,48,that the King and,mother shoulde,that the King and Queene mother shoulde
372,Essex,49,54,souldiers out of,", arriue at Newhauen","souldiers out of Essex , arriue at Newhauen"
372,Essex,194,199,,"me, vnder the leadyng","Essex me, vnder the leadyng"
377,England,33,40,returned backe into,", but the Souldyers","returned backe into England , but the Souldyers"
434,England,199,206,returning into,",","returning into England ,"
482,England,329,336,conueyd ouer into,", he shortly after","conueyd ouer into England , he shortly after"
517,Queene,209,215,belonged to the,of Englande and,belonged to the Queene of Englande and
523,Queene,126,132,to the King and,"mother, to aduertise","to the King and Queene mother, to aduertise"
529,Essex,259,264,the same tyme in,a man was torne,the same tyme in Essex a man was torne
530,England,361,368,other places of,notwithstanding,other places of England notwithstanding
542,Queene,168,174,"of Cambridge,The",a progresse thorow,"of Cambridge,The Queene a progresse thorow"
548,England,960,967,many people in,: especially in,many people in England : especially in
549,Queene,509,515,"folowing, maried Marie",of Scotlande.,"folowing, maried Marie Queene of Scotlande."
550,England,421,428,marchant adueturers of,: they came to Bruges,marchant adueturers of England : they came to Bruges
550,England,653,660,Commissioners returned into,.,Commissioners returned into England .
555,Essex,336,341,,fiue hundred acres,Essex fiue hundred acres
556,Queene,1196,1202,Christning the,gaue the childe,Christning the Queene gaue the childe
558,England,150,157,maister Gunner of,", desirous also","maister Gunner of England , desirous also"
560,England,211,218,ouer into,", by the French","ouer into England , by the French"
567,England,269,276,,"may reioyce, that","England may reioyce, that"
567,Queene,48,54,"disputations, the",at the humble suyte,"disputations, the Queene at the humble suyte"
571,England,541,548,Queenes Maiestie of,was the,Queenes Maiestie of England was the
571,Queene,181,187,"Marie, King and",of Scottes,"Marie, King and Queene of Scottes"
586,England,559,566,againe into,vnto the Queenes,againe into England vnto the Queenes
635,England,595,602,,the .xxij. of Aprill,England the .xxij. of Aprill
653,Queene,418,424,thereof in the,of Englands name,thereof in the Queene of Englands name
661,Queene,1044,1050,them wythoute the,of Englandes ayde,them wythoute the Queene of Englandes ayde
666,England,395,402,hostages sent into,by the same,hostages sent into England by the same
675,Queene,364,370,,of Englandes Generall,Queene of Englandes Generall
676,Queene,1381,1387,,of Englande and,Queene of Englande and
698,Queene,219,225,deuotion of the,"of Englande, was","deuotion of the Queene of Englande, was"
699,England,463,470,to the realme of,",Churchyard. and","to the realme of England ,Churchyard. and"
699,England,617,624,,and Scotlande,England and Scotlande
704,Queene,753,759,remaine at the,of Englandes,remaine at the Queene of Englandes
821,Elizabeth,150,159,"Mary, and Queene",. All these he serued,"Mary, and Queene Elizabeth . All these he serued"
821,Queene,126,132,"Edwarde the sixt,","Mary, and Queene","Edwarde the sixt, Queene Mary, and Queene"
821,Queene,143,149,"Queene Mary, and",Elizabeth. All,"Queene Mary, and Queene Elizabeth. All"
825,Essex,29,34,Earles of,and Lincolne created,Earles of Essex and Lincolne created
825,Essex,184,189,created Earle of,. And Edwarde Fines,created Earle of Essex . And Edwarde Fines
832,England,840,847,Queene of,", Sir Thomas Smyth","Queene of England , Sir Thomas Smyth"
832,Queene,830,836,,"of England, Sir","Queene of England, Sir"
833,England,218,225,and the Nobles of,to the Castell,and the Nobles of England to the Castell
834,England,174,181,and returned into,,and returned into England
840,England,259,266,high Treasorer of,:,high Treasorer of England :
850,Elizabeth,752,761,,. They returned,Elizabeth . They returned
850,England,782,789,They returned into,the seue and twentith,They returned into England the seue and twentith
851,England,409,416,Lord Admirall of,", that he should","Lord Admirall of England , that he should"
861,Queene,4,10,Our,at the request,Our Queene at the request
874,Elizabeth,1159,1168,"England,Queene",a,"England,Queene Elizabeth a"
874,England,1144,1151,,",Queene Elizabeth","England ,Queene Elizabeth"
874,Queene,1152,1158,"England,",Elizabeth a,"England, Queene Elizabeth a"
880,England,2880,2887,the Historie of,"Page, 1868.","the Historie of England Page, 1868."
889,Essex,36,41,Walter Erle of,", accompanyed with","Walter Erle of Essex , accompanyed with"
889,Essex,104,109,le of,and the Lorde che,le of Essex and the Lorde che
890,Essex,958,963,to the Earle of,", and there made","to the Earle of Essex , and there made"
892,England,129,136,Q. Maiestie of,directed hir letters,Q. Maiestie of England directed hir letters
892,Ireland,101,108,generall of Vlster,. the Q. Maiestie,generall of Vlster Ireland . the Q. Maiestie
892,Essex,12,17,The Erle of,hauing the Countrey,The Erle of Essex hauing the Countrey
892,Essex,66,71,"other,Erle of",captaine generall,"other,Erle of Essex captaine generall"
892,Essex,275,280,Commission the Earle of,Captaine generall,Commission the Earle of Essex Captaine generall
929,Elizabeth,294,303,by the names of,", Marie, Margaret","by the names of Elizabeth , Marie, Margaret"
940,Ireland,57,64,Earle Marshall of,", Knight of the","Earle Marshall of Ireland , Knight of the"
940,Essex,25,30,Deueroux Earle of,", and Eu Earle Marshall","Deueroux Earle of Essex , and Eu Earle Marshall"
940,Essex,339,344,"therewith,The Earle of",departeth this,"therewith,The Earle of Essex departeth this"
942,England,237,244,Queenes Maiestie of,and the King of,Queenes Maiestie of England and the King of
944,Elizabeth,369,378,soueraigne Lady Queene,", whose happie state","soueraigne Lady Queene Elizabeth , whose happie state"
944,Queene,362,368,soueraigne Lady,"Elizabeth, whose","soueraigne Lady Queene Elizabeth, whose"
