paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
158,Patrike,22,29,,Fitz,Patrike Fitz
159,Thomas,45,51,inſolencye in,Fitz,inſolencye in Thomas Fitz
159,Thomas,87,93,from,to Dublin,from Thomas to Dublin
160,Francis,324,331,named,Herbert,named Francis Herbert
160,Herbert,332,339,Francis,",Francis","Francis Herbert ,Francis"
160,Francis,340,347,"Herbert,",Herbert,"Herbert, Francis Herbert"
160,Herbert,348,355,Francis,ſent,Francis Herbert ſent
160,Euſtace,375,382,England.,of Balicutlan,England. Euſtace of Balicutlan
160,Euſtace,500,507,Chriſtopher,of Balintlan,Chriſtopher Euſtace of Balintlan
160,Thomas,629,635,aunſwere to,", as touching","aunſwere to Thomas , as touching"
163,ſands,260,265,on the,neere,on the ſands neere
164,Thomas,181,187,when,Fitz,when Thomas Fitz
164,Oliuer,283,289,"Giralde,",Fitz,"Giralde, Oliuer Fitz"
164,Thomas,1070,1076,mercy.,being,mercy. Thomas being
164,Stephan Gardiner,2059,2075,match of,", an other","match of Stephan Gardiner , an other"
167,Thomas,254,260,returned to,Fitz,returned to Thomas Fitz
167,Edward,445,451,"Teling,",Roukes,"Teling, Edward Roukes"
168,Thomas,89,95,"beſieged,",Fitz,"beſieged, Thomas Fitz"
169,Thomas,0,6,,vpon,Thomas vpon
169,Thomas,31,37,"determination,",Fitz,"determination, Thomas Fitz"
169,Walter,332,338,"Gernon,",Walſh,"Gernon, Walter Walſh"
169,Thomas,498,504,Kilkennie to,Towne,Kilkennie to Thomas Towne
169,Thomas,1031,1037,towardes,Fitz,towardes Thomas Fitz
169,Thomas,1106,1112,himſelfe at,Towne,himſelfe at Thomas Towne
170,Thomas,21,27,that,with,that Thomas with
170,Herbert,95,102,Frances,returneth,Frances Herbert returneth
170,Francis,127,134,England.,Herbert,England. Francis Herbert
170,Herbert,135,142,Francis,returned,Francis Herbert returned
170,Thomas,420,426,practiſes of,and hys,practiſes of Thomas and hys
170,Thomas,525,531,letters.,Fitz,letters. Thomas Fitz
170,Thomas,548,554,Simons. M.,Fitz,Simons. M. Thomas Fitz
171,Thomas,100,106,with,Fitz,with Thomas Fitz
171,Thomas,978,984,rode to,Fitz,rode to Thomas Fitz
171,Herbert,1244,1251,"ſhipt,",with,"ſhipt, Herbert with"
172,Thomas,0,6,,with,Thomas with
172,William,454,461,"Simons,",Fitz,"Simons, William Fitz"
172,Walter,489,495,ſonnes to,Fitz,ſonnes to Walter Fitz
173,Peter,105,110,"Trauerſe,",Lince,"Trauerſe, Peter Lince"
173,Oliuer,136,142,and,Grace,and Oliuer Grace
175,Thomas,0,6,,herewith,Thomas herewith
175,Herbert,89,96,wherein,ſayled,wherein Herbert ſayled
177,Thomas,121,127,aſſembled to,court,aſſembled to Thomas court
177,Thomas,157,163,Sainte,his ſtreete,Sainte Thomas his ſtreete
178,Thomas,150,156,apprentice of,Steeuens,apprentice of Thomas Steeuens
179,Richard,39,46,Stanton.,Stanton,Stanton. Richard Stanton
182,Thomas,311,317,notwithſtanding,his Souldyers,notwithſtanding Thomas his Souldyers
184,Thomas,0,6,,Fitz,Thomas Fitz
184,Thomas,77,83,"ſtreete,",Fitz,"ſtreete, Thomas Fitz"
185,Thomas,0,6,,hys courage,Thomas hys courage
185,Charles,345,352,"tertius, or",the fyft,"tertius, or Charles the fyft"
186,William,279,286,,Bath,William Bath
186,Thomas,328,334,"Trauerſe,",Fielde,"Trauerſe, Thomas Fielde"
186,William,469,476,repayred to,Kelly,repayred to William Kelly
192,Thomas,38,44,that,Fitz,that Thomas Fitz
199,William,22,29,,BathAs,William BathAs
199,William,67,74,"fro,",Bath,"fro, William Bath"
199,Euſtace,615,622,hee and,of Balicutlan,hee and Euſtace of Balicutlan
